Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,2023-08-15_256samples_623B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_629A2A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_630A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_631B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_632B_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_633A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_638A1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_642A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_643E.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP10A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP13A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP15C_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP17D.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP19F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP20G1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP3F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP5A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP6A.fasta_PROKKA_04102026
mcpA,mcpA,Methyl-accepting chemotaxis protein McpA,18,18,1.0,5,2,,,,1881,1881,1881.0,DHHEPMPN_05900,CBBFEIEG_05893,JAGMMPDK_05881,JCGKDLKP_05868,IJJMJDPO_05688,OPLBPFOJ_05747,PAPKKMNH_05900,EEMOKJNN_05684,JPLAHNLF_05888,DHNKKDKB_05629,EONIFOAI_06250,KPCEIPFN_06238,BLLKJOKP_05676,HALBOOGP_06236,POFILHDL_05606,GOKHHJCB_06239,MFFOPBKH_05618,HGPKINJB_06236
group_3536,,hypothetical protein,18,18,1.0,5,1,,,,339,339,339.0,DHHEPMPN_05892,CBBFEIEG_05901,JAGMMPDK_05889,JCGKDLKP_05876,IJJMJDPO_05680,OPLBPFOJ_05755,PAPKKMNH_05892,EEMOKJNN_05692,JPLAHNLF_05896,DHNKKDKB_05621,EONIFOAI_06258,KPCEIPFN_06230,BLLKJOKP_05684,HALBOOGP_06244,POFILHDL_05614,GOKHHJCB_06231,MFFOPBKH_05626,HGPKINJB_06244
rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,18,18,1.0,4,27,,,,1077,1077,1077.0,DHHEPMPN_05626,CBBFEIEG_05707,JAGMMPDK_05596,JCGKDLKP_05657,IJJMJDPO_05514,OPLBPFOJ_05514,PAPKKMNH_05643,EEMOKJNN_05552,JPLAHNLF_05601,DHNKKDKB_05405,EONIFOAI_06209,KPCEIPFN_06210,BLLKJOKP_05492,HALBOOGP_06195,POFILHDL_05399,GOKHHJCB_06220,MFFOPBKH_05412,HGPKINJB_06229
nicB,nicB,Nicotinate dehydrogenase subunit B,18,18,1.0,4,25,,,,3528,3528,3528.0,DHHEPMPN_05635,CBBFEIEG_05716,JAGMMPDK_05605,JCGKDLKP_05666,IJJMJDPO_05523,OPLBPFOJ_05523,PAPKKMNH_05634,EEMOKJNN_05561,JPLAHNLF_05610,DHNKKDKB_05396,EONIFOAI_06200,KPCEIPFN_06201,BLLKJOKP_05501,HALBOOGP_06204,POFILHDL_05408,GOKHHJCB_06229,MFFOPBKH_05421,HGPKINJB_06220
group_3535,,hypothetical protein,18,18,1.0,4,24,,,,477,477,477.0,DHHEPMPN_05613,CBBFEIEG_05694,JAGMMPDK_05583,JCGKDLKP_05644,IJJMJDPO_05501,OPLBPFOJ_05501,PAPKKMNH_05656,EEMOKJNN_05539,JPLAHNLF_05588,DHNKKDKB_05418,EONIFOAI_06211,KPCEIPFN_06212,BLLKJOKP_05479,HALBOOGP_06193,POFILHDL_05386,GOKHHJCB_06218,MFFOPBKH_05399,HGPKINJB_06231
nicD,nicD,N-formylmaleamate deformylase,18,18,1.0,4,22,,,,798,798,798.0,DHHEPMPN_05630,CBBFEIEG_05711,JAGMMPDK_05600,JCGKDLKP_05661,IJJMJDPO_05518,OPLBPFOJ_05518,PAPKKMNH_05639,EEMOKJNN_05556,JPLAHNLF_05605,DHNKKDKB_05401,EONIFOAI_06205,KPCEIPFN_06206,BLLKJOKP_05496,HALBOOGP_06199,POFILHDL_05403,GOKHHJCB_06224,MFFOPBKH_05416,HGPKINJB_06225
nicT_4,nicT_4,Putative metabolite transport protein NicT,18,18,1.0,4,21,,,,1311,1311,1311.0,DHHEPMPN_05627,CBBFEIEG_05708,JAGMMPDK_05597,JCGKDLKP_05658,IJJMJDPO_05515,OPLBPFOJ_05515,PAPKKMNH_05642,EEMOKJNN_05553,JPLAHNLF_05602,DHNKKDKB_05404,EONIFOAI_06208,KPCEIPFN_06209,BLLKJOKP_05493,HALBOOGP_06196,POFILHDL_05400,GOKHHJCB_06221,MFFOPBKH_05413,HGPKINJB_06228
nicX,nicX,25-dihydroxypyridine 56-dioxygenase,18,18,1.0,4,19,,,,1053,1053,1053.0,DHHEPMPN_05632,CBBFEIEG_05713,JAGMMPDK_05602,JCGKDLKP_05663,IJJMJDPO_05520,OPLBPFOJ_05520,PAPKKMNH_05637,EEMOKJNN_05558,JPLAHNLF_05607,DHNKKDKB_05399,EONIFOAI_06203,KPCEIPFN_06204,BLLKJOKP_05498,HALBOOGP_06201,POFILHDL_05405,GOKHHJCB_06226,MFFOPBKH_05418,HGPKINJB_06223
nicR,nicR,HTH-type transcriptional repressor NicR,18,18,1.0,4,12,,,,435,435,435.0,DHHEPMPN_05633,CBBFEIEG_05714,JAGMMPDK_05603,JCGKDLKP_05664,IJJMJDPO_05521,OPLBPFOJ_05521,PAPKKMNH_05636,EEMOKJNN_05559,JPLAHNLF_05608,DHNKKDKB_05398,EONIFOAI_06202,KPCEIPFN_06203,BLLKJOKP_05499,HALBOOGP_06202,POFILHDL_05406,GOKHHJCB_06227,MFFOPBKH_05419,HGPKINJB_06222
nicC,nicC,6-hydroxynicotinate 3-monooxygenase,18,18,1.0,4,11,,,,1134,1134,1134.0,DHHEPMPN_05631,CBBFEIEG_05712,JAGMMPDK_05601,JCGKDLKP_05662,IJJMJDPO_05519,OPLBPFOJ_05519,PAPKKMNH_05638,EEMOKJNN_05557,JPLAHNLF_05606,DHNKKDKB_05400,EONIFOAI_06204,KPCEIPFN_06205,BLLKJOKP_05497,HALBOOGP_06200,POFILHDL_05404,GOKHHJCB_06225,MFFOPBKH_05417,HGPKINJB_06224
maiA,maiA,Maleate isomerase,18,18,1.0,4,10,,,,753,753,753.0,DHHEPMPN_05629,CBBFEIEG_05710,JAGMMPDK_05599,JCGKDLKP_05660,IJJMJDPO_05517,OPLBPFOJ_05517,PAPKKMNH_05640,EEMOKJNN_05555,JPLAHNLF_05604,DHNKKDKB_05402,EONIFOAI_06206,KPCEIPFN_06207,BLLKJOKP_05495,HALBOOGP_06198,POFILHDL_05402,GOKHHJCB_06223,MFFOPBKH_05415,HGPKINJB_06226
nicF,nicF,Maleamate amidohydrolase,18,18,1.0,4,9,,,,633,633,633.0,DHHEPMPN_05628,CBBFEIEG_05709,JAGMMPDK_05598,JCGKDLKP_05659,IJJMJDPO_05516,OPLBPFOJ_05516,PAPKKMNH_05641,EEMOKJNN_05554,JPLAHNLF_05603,DHNKKDKB_05403,EONIFOAI_06207,KPCEIPFN_06208,BLLKJOKP_05494,HALBOOGP_06197,POFILHDL_05401,GOKHHJCB_06222,MFFOPBKH_05414,HGPKINJB_06227
azoR_2,azoR_2,FMN-dependent NADH-azoreductase,18,18,1.0,4,8,,,,594,594,594.0,DHHEPMPN_05611,CBBFEIEG_05692,JAGMMPDK_05581,JCGKDLKP_05642,IJJMJDPO_05499,OPLBPFOJ_05499,PAPKKMNH_05658,EEMOKJNN_05537,JPLAHNLF_05586,DHNKKDKB_05420,EONIFOAI_06213,KPCEIPFN_06214,BLLKJOKP_05477,HALBOOGP_06191,POFILHDL_05384,GOKHHJCB_06216,MFFOPBKH_05397,HGPKINJB_06233
gabR_3~~~gabR_4,gabR_3;gabR_4,HTH-type transcriptional regulatory protein GabR,18,18,1.0,4,7,,,,1422,1488,1463.3333333333333,DHHEPMPN_05614,CBBFEIEG_05695,JAGMMPDK_05584,JCGKDLKP_05645,IJJMJDPO_05502,OPLBPFOJ_05502,PAPKKMNH_05655,EEMOKJNN_05540,JPLAHNLF_05589,DHNKKDKB_05417,EONIFOAI_06210,KPCEIPFN_06211,BLLKJOKP_05480,HALBOOGP_06194,POFILHDL_05387,GOKHHJCB_06219,MFFOPBKH_05400,HGPKINJB_06230
patB,patB,Cystathionine beta-lyase PatB,18,18,1.0,4,5,,,,1146,1146,1146.0,DHHEPMPN_05610,CBBFEIEG_05691,JAGMMPDK_05580,JCGKDLKP_05641,IJJMJDPO_05498,OPLBPFOJ_05498,PAPKKMNH_05659,EEMOKJNN_05536,JPLAHNLF_05585,DHNKKDKB_05421,EONIFOAI_06214,KPCEIPFN_06215,BLLKJOKP_05476,HALBOOGP_06190,POFILHDL_05383,GOKHHJCB_06215,MFFOPBKH_05396,HGPKINJB_06234
group_3533,,hypothetical protein,18,18,1.0,4,4,,,,441,441,441.0,DHHEPMPN_05612,CBBFEIEG_05693,JAGMMPDK_05582,JCGKDLKP_05643,IJJMJDPO_05500,OPLBPFOJ_05500,PAPKKMNH_05657,EEMOKJNN_05538,JPLAHNLF_05587,DHNKKDKB_05419,EONIFOAI_06212,KPCEIPFN_06213,BLLKJOKP_05478,HALBOOGP_06192,POFILHDL_05385,GOKHHJCB_06217,MFFOPBKH_05398,HGPKINJB_06232
group_3532,,hypothetical protein,18,18,1.0,4,3,,,,3348,3348,3348.0,DHHEPMPN_05609,CBBFEIEG_05690,JAGMMPDK_05579,JCGKDLKP_05640,IJJMJDPO_05497,OPLBPFOJ_05497,PAPKKMNH_05660,EEMOKJNN_05535,JPLAHNLF_05584,DHNKKDKB_05422,EONIFOAI_06215,KPCEIPFN_06216,BLLKJOKP_05475,HALBOOGP_06189,POFILHDL_05382,GOKHHJCB_06214,MFFOPBKH_05395,HGPKINJB_06235
nicA,nicA,Nicotinate dehydrogenase subunit A,18,18,1.0,4,2,,,,492,492,492.0,DHHEPMPN_05634,CBBFEIEG_05715,JAGMMPDK_05604,JCGKDLKP_05665,IJJMJDPO_05522,OPLBPFOJ_05522,PAPKKMNH_05635,EEMOKJNN_05560,JPLAHNLF_05609,DHNKKDKB_05397,EONIFOAI_06201,KPCEIPFN_06202,BLLKJOKP_05500,HALBOOGP_06203,POFILHDL_05407,GOKHHJCB_06228,MFFOPBKH_05420,HGPKINJB_06221
group_3530,,hypothetical protein,18,18,1.0,3,112,,,,1542,1542,1542.0,DHHEPMPN_05356,CBBFEIEG_05481,JAGMMPDK_05239,JCGKDLKP_04657,IJJMJDPO_05109,OPLBPFOJ_05144,PAPKKMNH_05199,EEMOKJNN_05214,JPLAHNLF_05332,DHNKKDKB_04525,EONIFOAI_05594,KPCEIPFN_05564,BLLKJOKP_05055,HALBOOGP_04880,POFILHDL_05007,GOKHHJCB_05597,MFFOPBKH_04966,HGPKINJB_04561
group_3529,,hypothetical protein,18,18,1.0,3,111,,,,780,780,780.0,DHHEPMPN_05319,CBBFEIEG_05518,JAGMMPDK_05276,JCGKDLKP_04620,IJJMJDPO_05146,OPLBPFOJ_05107,PAPKKMNH_05162,EEMOKJNN_05177,JPLAHNLF_05295,DHNKKDKB_04562,EONIFOAI_05631,KPCEIPFN_05601,BLLKJOKP_05093,HALBOOGP_04843,POFILHDL_05044,GOKHHJCB_05634,MFFOPBKH_05003,HGPKINJB_04524
gmhB,gmhB,D-glycero-beta-D-manno-heptose-17-bisphosphate 7-phosphatase,18,18,1.0,3,110,,,,537,537,537.0,DHHEPMPN_05309,CBBFEIEG_05528,JAGMMPDK_05286,JCGKDLKP_04610,IJJMJDPO_05156,OPLBPFOJ_05097,PAPKKMNH_05152,EEMOKJNN_05167,JPLAHNLF_05285,DHNKKDKB_04572,EONIFOAI_05641,KPCEIPFN_05611,BLLKJOKP_05103,HALBOOGP_04833,POFILHDL_05054,GOKHHJCB_05644,MFFOPBKH_05013,HGPKINJB_04514
algB,algB,Alginate biosynthesis transcriptional regulatory protein AlgB,18,18,1.0,3,109,,,,1347,1347,1347.0,DHHEPMPN_05445,CBBFEIEG_05619,JAGMMPDK_05397,JCGKDLKP_04691,IJJMJDPO_05235,OPLBPFOJ_05232,PAPKKMNH_05344,EEMOKJNN_05302,JPLAHNLF_05426,DHNKKDKB_04491,EONIFOAI_05829,KPCEIPFN_05855,BLLKJOKP_05290,HALBOOGP_04914,POFILHDL_05242,GOKHHJCB_05828,MFFOPBKH_05156,HGPKINJB_04595
yqjD_2,yqjD_2,putative protein YqjD,18,18,1.0,3,108,,,,327,327,327.0,DHHEPMPN_05338,CBBFEIEG_05499,JAGMMPDK_05257,JCGKDLKP_04639,IJJMJDPO_05127,OPLBPFOJ_05126,PAPKKMNH_05181,EEMOKJNN_05196,JPLAHNLF_05314,DHNKKDKB_04543,EONIFOAI_05612,KPCEIPFN_05582,BLLKJOKP_05073,HALBOOGP_04862,POFILHDL_05025,GOKHHJCB_05615,MFFOPBKH_04984,HGPKINJB_04543
group_3528,,hypothetical protein,18,18,1.0,3,107,,,,327,327,327.0,DHHEPMPN_05329,CBBFEIEG_05508,JAGMMPDK_05266,JCGKDLKP_04630,IJJMJDPO_05136,OPLBPFOJ_05117,PAPKKMNH_05172,EEMOKJNN_05187,JPLAHNLF_05305,DHNKKDKB_04552,EONIFOAI_05621,KPCEIPFN_05591,BLLKJOKP_05082,HALBOOGP_04853,POFILHDL_05034,GOKHHJCB_05624,MFFOPBKH_04993,HGPKINJB_04534
katE,katE,Catalase HPII,18,18,1.0,3,106,,,,2142,2142,2142.0,DHHEPMPN_05427,CBBFEIEG_05637,JAGMMPDK_05379,JCGKDLKP_04673,IJJMJDPO_05218,OPLBPFOJ_05215,PAPKKMNH_05362,EEMOKJNN_05285,JPLAHNLF_05444,DHNKKDKB_04509,EONIFOAI_05811,KPCEIPFN_05873,BLLKJOKP_05307,HALBOOGP_04896,POFILHDL_05224,GOKHHJCB_05810,MFFOPBKH_05174,HGPKINJB_04577
dauA_2,dauA_2,C4-dicarboxylic acid transporter DauA,18,18,1.0,3,105,,,,1569,1569,1569.0,DHHEPMPN_05325,CBBFEIEG_05512,JAGMMPDK_05270,JCGKDLKP_04626,IJJMJDPO_05140,OPLBPFOJ_05113,PAPKKMNH_05168,EEMOKJNN_05183,JPLAHNLF_05301,DHNKKDKB_04556,EONIFOAI_05625,KPCEIPFN_05595,BLLKJOKP_05086,HALBOOGP_04849,POFILHDL_05038,GOKHHJCB_05628,MFFOPBKH_04997,HGPKINJB_04530
metQ_3,;metQ_3,hypothetical protein;Methionine-binding lipoprotein MetQ,18,19,1.0555555555555556,3,104,,,,243,774,720.3157894736842,DHHEPMPN_05424,CBBFEIEG_05640,JAGMMPDK_05376;JAGMMPDK_05957,JCGKDLKP_04670,IJJMJDPO_05215,OPLBPFOJ_05212,PAPKKMNH_05365,EEMOKJNN_05282,JPLAHNLF_05447,DHNKKDKB_04512,EONIFOAI_05808,KPCEIPFN_05876,BLLKJOKP_05310,HALBOOGP_04893,POFILHDL_05221,GOKHHJCB_05807,MFFOPBKH_05177,HGPKINJB_04574
yrdA_2,yrdA_2,Protein YrdA,18,18,1.0,3,103,,,,543,543,543.0,DHHEPMPN_05347,CBBFEIEG_05490,JAGMMPDK_05248,JCGKDLKP_04648,IJJMJDPO_05118,OPLBPFOJ_05135,PAPKKMNH_05190,EEMOKJNN_05205,JPLAHNLF_05323,DHNKKDKB_04534,EONIFOAI_05603,KPCEIPFN_05573,BLLKJOKP_05064,HALBOOGP_04871,POFILHDL_05016,GOKHHJCB_05606,MFFOPBKH_04975,HGPKINJB_04552
gcvA_10,gcvA_10,Glycine cleavage system transcriptional activator,18,18,1.0,3,102,,,,951,951,951.0,DHHEPMPN_05328,CBBFEIEG_05509,JAGMMPDK_05267,JCGKDLKP_04629,IJJMJDPO_05137,OPLBPFOJ_05116,PAPKKMNH_05171,EEMOKJNN_05186,JPLAHNLF_05304,DHNKKDKB_04553,EONIFOAI_05622,KPCEIPFN_05592,BLLKJOKP_05083,HALBOOGP_04852,POFILHDL_05035,GOKHHJCB_05625,MFFOPBKH_04994,HGPKINJB_04533
group_3527,,hypothetical protein,18,18,1.0,3,101,,,,204,204,204.0,DHHEPMPN_05362,CBBFEIEG_05475,JAGMMPDK_05233,JCGKDLKP_04663,IJJMJDPO_05103,OPLBPFOJ_05150,PAPKKMNH_05205,EEMOKJNN_05220,JPLAHNLF_05338,DHNKKDKB_04519,EONIFOAI_05588,KPCEIPFN_05558,BLLKJOKP_05049,HALBOOGP_04886,POFILHDL_05001,GOKHHJCB_05591,MFFOPBKH_04960,HGPKINJB_04567
group_3526,,hypothetical protein,18,18,1.0,3,100,,,,1059,1059,1059.0,DHHEPMPN_05354,CBBFEIEG_05483,JAGMMPDK_05241,JCGKDLKP_04655,IJJMJDPO_05111,OPLBPFOJ_05142,PAPKKMNH_05197,EEMOKJNN_05212,JPLAHNLF_05330,DHNKKDKB_04527,EONIFOAI_05596,KPCEIPFN_05566,BLLKJOKP_05057,HALBOOGP_04878,POFILHDL_05009,GOKHHJCB_05599,MFFOPBKH_04968,HGPKINJB_04559
ctaD,ctaD,Cytochrome c oxidase subunit 1,18,18,1.0,3,99,,,,1587,1587,1587.0,DHHEPMPN_05359,CBBFEIEG_05478,JAGMMPDK_05236,JCGKDLKP_04660,IJJMJDPO_05106,OPLBPFOJ_05147,PAPKKMNH_05202,EEMOKJNN_05217,JPLAHNLF_05335,DHNKKDKB_04522,EONIFOAI_05591,KPCEIPFN_05561,BLLKJOKP_05052,HALBOOGP_04883,POFILHDL_05004,GOKHHJCB_05594,MFFOPBKH_04963,HGPKINJB_04564
thrB,thrB,Homoserine kinase,18,18,1.0,3,98,,,,954,954,954.0,DHHEPMPN_05434,CBBFEIEG_05630,JAGMMPDK_05386,JCGKDLKP_04680,IJJMJDPO_05224,OPLBPFOJ_05221,PAPKKMNH_05355,EEMOKJNN_05291,JPLAHNLF_05437,DHNKKDKB_04502,EONIFOAI_05818,KPCEIPFN_05866,BLLKJOKP_05301,HALBOOGP_04903,POFILHDL_05231,GOKHHJCB_05817,MFFOPBKH_05167,HGPKINJB_04584
znuC_2,znuC_2,Zinc import ATP-binding protein ZnuC,18,18,1.0,3,97,,,,786,786,786.0,DHHEPMPN_05430,CBBFEIEG_05634,JAGMMPDK_05382,JCGKDLKP_04676,IJJMJDPO_05221,OPLBPFOJ_05218,PAPKKMNH_05359,EEMOKJNN_05288,JPLAHNLF_05441,DHNKKDKB_04506,EONIFOAI_05814,KPCEIPFN_05870,BLLKJOKP_05304,HALBOOGP_04899,POFILHDL_05227,GOKHHJCB_05813,MFFOPBKH_05171,HGPKINJB_04580
fmt,fmt,Methionyl-tRNA formyltransferase,18,18,1.0,3,96,,,,954,954,954.0,DHHEPMPN_05317,CBBFEIEG_05520,JAGMMPDK_05278,JCGKDLKP_04618,IJJMJDPO_05148,OPLBPFOJ_05105,PAPKKMNH_05160,EEMOKJNN_05175,JPLAHNLF_05293,DHNKKDKB_04564,EONIFOAI_05633,KPCEIPFN_05603,BLLKJOKP_05095,HALBOOGP_04841,POFILHDL_05046,GOKHHJCB_05636,MFFOPBKH_05005,HGPKINJB_04522
glyQ,glyQ,Glycine--tRNA ligase alpha subunit,18,18,1.0,3,95,,,,954,954,954.0,DHHEPMPN_05311,CBBFEIEG_05526,JAGMMPDK_05284,JCGKDLKP_04612,IJJMJDPO_05154,OPLBPFOJ_05099,PAPKKMNH_05154,EEMOKJNN_05169,JPLAHNLF_05287,DHNKKDKB_04570,EONIFOAI_05639,KPCEIPFN_05609,BLLKJOKP_05101,HALBOOGP_04835,POFILHDL_05052,GOKHHJCB_05642,MFFOPBKH_05011,HGPKINJB_04516
group_3525,,hypothetical protein,18,18,1.0,3,94,,,,879,879,879.0,DHHEPMPN_05441,CBBFEIEG_05623,JAGMMPDK_05393,JCGKDLKP_04687,IJJMJDPO_05231,OPLBPFOJ_05228,PAPKKMNH_05348,EEMOKJNN_05298,JPLAHNLF_05430,DHNKKDKB_04495,EONIFOAI_05825,KPCEIPFN_05859,BLLKJOKP_05294,HALBOOGP_04910,POFILHDL_05238,GOKHHJCB_05824,MFFOPBKH_05160,HGPKINJB_04591
znuB_2,znuB_2,High-affinity zinc uptake system membrane protein ZnuB,18,18,1.0,3,93,,,,789,789,789.0,DHHEPMPN_05429,CBBFEIEG_05635,JAGMMPDK_05381,JCGKDLKP_04675,IJJMJDPO_05220,OPLBPFOJ_05217,PAPKKMNH_05360,EEMOKJNN_05287,JPLAHNLF_05442,DHNKKDKB_04507,EONIFOAI_05813,KPCEIPFN_05871,BLLKJOKP_05305,HALBOOGP_04898,POFILHDL_05226,GOKHHJCB_05812,MFFOPBKH_05172,HGPKINJB_04579
