Isolate	subject_id	query_id	perc_identity	align_len	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	Hit	FullTaxonomy	Pond	mean	sd	se	Inhibition_Flag
CP19F2	NC_019504.1	NODE_2_length_561142_cov_23.083689||0_partial	75.847	236	47	8	54644	54874	30020	30250	1.37E-20	111	Erwinia phage vB_EamM-Y2, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Chaseviridae;Cleopatravirinae; Loessnervirus; Loessnervirus Y2.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP15C	NC_019504.1	NODE_2_length_561873_cov_15.748749||0_partial	75.847	236	47	8	54644	54874	30020	30250	1.37E-20	111	Erwinia phage vB_EamM-Y2, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Chaseviridae;Cleopatravirinae; Loessnervirus; Loessnervirus Y2.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP6A	NC_019504.1	NODE_3_length_561591_cov_22.304945||0_partial	75.847	236	47	8	54644	54874	30020	30250	1.37E-20	111	Erwinia phage vB_EamM-Y2, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Chaseviridae;Cleopatravirinae; Loessnervirus; Loessnervirus Y2.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
632B	NC_024365.1	NODE_11_length_141879_cov_17.448886||0_partial	90.476	63	6	0	7132	7194	13132	13070	8.62E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
642A	NC_024365.1	NODE_13_length_142080_cov_23.732259||0_partial	90.476	63	6	0	7132	7194	13132	13070	8.62E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
CP13A	NC_024365.1	NODE_14_length_142455_cov_21.088616||0_partial	90.476	63	6	0	24593	24655	13070	13132	9.49E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP17D	NC_024365.1	NODE_14_length_145223_cov_16.899115||0_partial	90.476	63	6	0	24656	24718	13070	13132	1.01E-12	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	46.26267204	5.270897567	3.043154129	Weakly Inhibitory
631B	NC_024365.1	NODE_15_length_135536_cov_24.045874||0_partial	90.476	63	6	0	8246	8308	13132	13070	1.12E-12	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
CP6A	NC_024365.1	NODE_15_length_142547_cov_21.587296||0_partial	90.476	63	6	0	8154	8216	13132	13070	8.95E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP15C	NC_024365.1	NODE_15_length_142756_cov_15.238998||0_partial	90.476	63	6	0	8154	8216	13132	13070	8.95E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
643E	NC_024365.1	NODE_16_length_135289_cov_24.588113||0_partial	90.476	63	6	0	8246	8308	13132	13070	1.12E-12	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
630A	NC_024365.1	NODE_17_length_135243_cov_21.747252||0_partial	90.476	63	6	0	19774	19836	13070	13132	7.81E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
629A2A	NC_024365.1	NODE_17_length_135504_cov_24.930139||0_partial	90.476	63	6	0	8246	8308	13132	13070	1.12E-12	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
623B	NC_024365.1	NODE_17_length_135566_cov_27.189558||0_partial	90.476	63	6	0	8246	8308	13132	13070	1.12E-12	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
633A	NC_024365.1	NODE_20_length_105378_cov_19.471116||0_partial	90.476	63	6	0	24283	24345	13070	13132	7.99E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
638A1	NC_024365.1	NODE_25_length_89731_cov_16.221842||0_partial	90.476	63	6	0	9045	9107	13132	13070	9.86E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
CP19F2	NC_024365.1	NODE_6_length_327972_cov_23.337227||0_partial	90.476	63	6	0	8154	8216	13132	13070	8.95E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP3F2	NC_024365.1	NODE_6_length_328152_cov_18.623047||0_partial	90.476	63	6	0	23213	23275	13070	13132	9.14E-13	84.2	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP6A	NC_028696.2	NODE_63_length_1045_cov_77.397727||full	94.444	36	2	0	126	161	17685	17650	5.41E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP6A	NC_028696.2	NODE_63_length_1045_cov_77.397727||full	94.444	36	2	0	126	161	40310	40275	5.41E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP15C	NC_028696.2	NODE_63_length_1212_cov_45.846696||full	94.444	36	2	0	252	287	40310	40275	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP15C	NC_028696.2	NODE_63_length_1212_cov_45.846696||full	94.444	36	2	0	252	287	17685	17650	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP13A	NC_028696.2	NODE_63_length_1212_cov_67.400000||full	94.444	36	2	0	252	287	40310	40275	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP13A	NC_028696.2	NODE_63_length_1212_cov_67.400000||full	94.444	36	2	0	252	287	17685	17650	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP19F2	NC_028696.2	NODE_63_length_1212_cov_78.066960||full	94.444	36	2	0	252	287	40310	40275	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP19F2	NC_028696.2	NODE_63_length_1212_cov_78.066960||full	94.444	36	2	0	252	287	17685	17650	6.09E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP3F2	NC_028696.2	NODE_68_length_1045_cov_61.914256||full	94.444	36	2	0	877	912	40275	40310	5.41E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_028696.2	NODE_68_length_1045_cov_61.914256||full	94.444	36	2	0	877	912	17650	17685	5.41E-06	56.5	Salmonella phage SEN22, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Lederbergvirus.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
642A	NC_030940.1	NODE_1_length_695960_cov_24.453775||0_partial	74.232	1595	365	38	21392	22963	18213	19784	4.87E-176	627	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
642A	NC_030940.1	NODE_1_length_695960_cov_24.453775||0_partial	72.835	1513	344	51	18290	19767	14892	16372	2.43E-124	455	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
642A	NC_030940.1	NODE_1_length_695960_cov_24.453775||0_partial	75.382	2620	572	62	26340	28922	23682	26265	0	1197	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
642A	NC_030940.1	NODE_1_length_695960_cov_24.453775||0_partial	72.509	582	148	11	2752	3327	4813	5388	5.89E-41	178	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	48.69609765	1.768063848	1.020792139	Weakly Inhibitory
632B	NC_030940.1	NODE_1_length_696009_cov_17.982470||0_partial	74.232	1595	365	38	21392	22963	18213	19784	4.87E-176	627	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
632B	NC_030940.1	NODE_1_length_696009_cov_17.982470||0_partial	75.382	2620	572	62	26340	28922	23682	26265	0	1197	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
632B	NC_030940.1	NODE_1_length_696009_cov_17.982470||0_partial	72.509	582	148	11	2752	3327	4813	5388	5.89E-41	178	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
632B	NC_030940.1	NODE_1_length_696009_cov_17.982470||0_partial	72.835	1513	344	51	18290	19767	14892	16372	2.43E-124	455	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	67.25384143	6.771836134	3.909721415	Strongly Inhibitory
CP5A	NC_030940.1	NODE_11_length_158888_cov_22.114218||0_partial	73.223	1505	328	62	13802	15273	14847	16309	5.23E-131	477	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	68.59698728	8.634816533	4.98531365	Strongly Inhibitory
CP5A	NC_030940.1	NODE_11_length_158888_cov_22.114218||0_partial	72.06	2015	488	64	16800	18790	17849	19812	1.10E-147	532	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	68.59698728	8.634816533	4.98531365	Strongly Inhibitory
633A	NC_030940.1	NODE_13_length_148291_cov_19.867833||0_partial	74.232	1595	365	38	17595	19166	19784	18213	4.57E-176	627	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
633A	NC_030940.1	NODE_13_length_148291_cov_19.867833||0_partial	72.509	582	148	11	37231	37806	5388	4813	5.53E-41	178	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
633A	NC_030940.1	NODE_13_length_148291_cov_19.867833||0_partial	72.835	1513	344	51	20791	22268	16372	14892	2.28E-124	455	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
633A	NC_030940.1	NODE_13_length_148291_cov_19.867833||0_partial	75.382	2620	572	62	11636	14218	26265	23682	0	1197	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Sixty Lake	98.64864421	0.43952545	0.253760137	Strongly Inhibitory
CP15C	NC_030940.1	NODE_18_length_126077_cov_15.743810||0_partial	71.831	1491	356	48	12983	14447	14955	16407	8.80E-99	368	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP3F2	NC_030940.1	NODE_18_length_127803_cov_19.369972||0_partial	71.831	1491	356	48	1786	3250	16407	14955	1.77E-98	368	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP17D	NC_030940.1	NODE_2_length_685304_cov_17.879546||0_partial	73.369	2835	646	81	21732	24516	13698	10923	0	952	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	46.26267204	5.270897567	3.043154129	Weakly Inhibitory
CP3F2	NC_030940.1	NODE_20_length_111515_cov_17.782695||full	72.071	2023	491	56	69210	71209	17841	19812	4.84E-149	538	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_030940.1	NODE_20_length_111515_cov_17.782695||full	75.926	2538	547	58	75500	78007	23762	26265	0	1243	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP13A	NC_030940.1	NODE_23_length_111273_cov_20.020351||full	75.926	2538	547	58	32759	35266	26265	23762	0	1243	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP13A	NC_030940.1	NODE_23_length_111273_cov_20.020351||full	72.071	2023	491	56	39557	41556	19812	17841	4.83E-149	538	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP19F2	NC_030940.1	NODE_29_length_58558_cov_21.891897||full	75.926	2538	547	58	32759	35266	26265	23762	0	1243	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP19F2	NC_030940.1	NODE_29_length_58558_cov_21.891897||full	72.071	2023	491	56	39557	41556	19812	17841	2.52E-149	538	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP6A	NC_030940.1	NODE_30_length_79754_cov_22.469132||0_partial	71.946	1490	356	47	12397	13861	14955	16407	4.37E-102	379	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP19F2	NC_030940.1	NODE_33_length_45862_cov_24.677995||0_partial	71.946	1490	356	47	7967	9431	14955	16407	3.13E-102	379	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP6A	NC_030940.1	NODE_35_length_57177_cov_21.607443||full	72.071	2023	491	56	39557	41556	19812	17841	2.36E-149	538	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP6A	NC_030940.1	NODE_35_length_57177_cov_21.607443||full	75.926	2538	547	58	32759	35266	26265	23762	0	1243	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP13A	NC_030940.1	NODE_38_length_45880_cov_21.570574||0_partial	71.946	1490	356	47	7967	9431	14955	16407	3.13E-102	379	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP15C	NC_030940.1	NODE_8_length_257432_cov_14.744310||0_partial	72.071	2023	491	56	12095	14094	17841	19812	2.07E-149	538	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
CP15C	NC_030940.1	NODE_8_length_257432_cov_14.744310||0_partial	75.926	2538	547	58	18385	20892	23762	26265	0	1243	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	20.34787124	1.675999675	0.967638864	Weakly Inhibitory
