Genome1	Genome2	ANI	Spots	Spots2	Lake1	Lake2
632B	630A	98.9127	1963	2079	Sixty Lake	Sixty Lake
633A	630A	98.8887	1966	2078	Sixty Lake	Sixty Lake
638A1	630A	99.9804	2121	2136	Sixty Lake	Sixty Lake
642A	630A	98.8792	1973	2081	Sixty Lake	Sixty Lake
643E	630A	99.9807	2136	2148	Sixty Lake	Sixty Lake
CP10A	630A	98.8642	1933	2040	Conness Pond	Sixty Lake
CP13A	630A	98.8127	1945	2223	Conness Pond	Sixty Lake
CP15C	630A	98.7977	1945	2226	Conness Pond	Sixty Lake
CP17D	630A	98.8855	1947	2056	Conness Pond	Sixty Lake
CP19F2	630A	98.8016	1944	2227	Conness Pond	Sixty Lake
CP20G1	630A	98.8296	1925	2034	Conness Pond	Sixty Lake
CP3F2	630A	98.8307	1932	2220	Conness Pond	Sixty Lake
CP5A	630A	98.8482	1937	2037	Conness Pond	Sixty Lake
CP6A	630A	98.8263	1941	2228	Conness Pond	Sixty Lake
623B	631B	99.9839	2133	2146	Sixty Lake	Sixty Lake
629A2A	631B	99.9806	2137	2152	Sixty Lake	Sixty Lake
630A	631B	99.9776	2138	2146	Sixty Lake	Sixty Lake
631B	631B	100	2149	2154	Sixty Lake	Sixty Lake
632B	631B	98.9372	1965	2079	Sixty Lake	Sixty Lake
633A	631B	98.9032	1968	2078	Sixty Lake	Sixty Lake
638A1	631B	99.9816	2124	2136	Sixty Lake	Sixty Lake
642A	631B	98.9141	1972	2081	Sixty Lake	Sixty Lake
643E	631B	99.987	2135	2148	Sixty Lake	Sixty Lake
CP10A	631B	98.8693	1936	2040	Conness Pond	Sixty Lake
CP13A	631B	98.824	1939	2223	Conness Pond	Sixty Lake
CP15C	631B	98.8233	1945	2226	Conness Pond	Sixty Lake
CP17D	631B	98.9156	1944	2056	Conness Pond	Sixty Lake
CP19F2	631B	98.8114	1951	2227	Conness Pond	Sixty Lake
CP20G1	631B	98.8571	1924	2034	Conness Pond	Sixty Lake
CP3F2	631B	98.8226	1941	2220	Conness Pond	Sixty Lake
CP5A	631B	98.8757	1933	2037	Conness Pond	Sixty Lake
CP6A	631B	98.8488	1942	2228	Conness Pond	Sixty Lake
623B	632B	98.8745	1961	2146	Sixty Lake	Sixty Lake
629A2A	632B	98.8765	1971	2152	Sixty Lake	Sixty Lake
630A	632B	98.8727	1961	2146	Sixty Lake	Sixty Lake
631B	632B	98.8891	1963	2154	Sixty Lake	Sixty Lake
632B	632B	100	2073	2079	Sixty Lake	Sixty Lake
633A	632B	99.9767	2061	2078	Sixty Lake	Sixty Lake
638A1	632B	98.8375	1960	2136	Sixty Lake	Sixty Lake
642A	632B	99.9791	2061	2081	Sixty Lake	Sixty Lake
643E	632B	98.8779	1973	2148	Sixty Lake	Sixty Lake
CP10A	632B	99.0857	1934	2040	Conness Pond	Sixty Lake
CP13A	632B	99.0539	1949	2223	Conness Pond	Sixty Lake
CP15C	632B	99.0214	1958	2226	Conness Pond	Sixty Lake
CP17D	632B	99.1886	1948	2056	Conness Pond	Sixty Lake
CP19F2	632B	99.034	1957	2227	Conness Pond	Sixty Lake
CP20G1	632B	99.0868	1923	2034	Conness Pond	Sixty Lake
CP3F2	632B	99.0322	1954	2220	Conness Pond	Sixty Lake
CP5A	632B	99.0968	1935	2037	Conness Pond	Sixty Lake
CP6A	632B	98.9992	1960	2228	Conness Pond	Sixty Lake
623B	633A	98.8991	1969	2146	Sixty Lake	Sixty Lake
629A2A	633A	98.8904	1968	2152	Sixty Lake	Sixty Lake
630A	633A	98.88	1964	2146	Sixty Lake	Sixty Lake
631B	633A	98.905	1971	2154	Sixty Lake	Sixty Lake
632B	633A	99.9766	2062	2079	Sixty Lake	Sixty Lake
633A	633A	100	2076	2078	Sixty Lake	Sixty Lake
638A1	633A	98.896	1958	2136	Sixty Lake	Sixty Lake
642A	633A	99.972	2068	2081	Sixty Lake	Sixty Lake
643E	633A	98.9005	1972	2148	Sixty Lake	Sixty Lake
CP10A	633A	99.0858	1938	2040	Conness Pond	Sixty Lake
CP13A	633A	99.0681	1956	2223	Conness Pond	Sixty Lake
CP15C	633A	99.033	1960	2226	Conness Pond	Sixty Lake
CP17D	633A	99.1761	1949	2056	Conness Pond	Sixty Lake
CP19F2	633A	99.0269	1961	2227	Conness Pond	Sixty Lake
CP20G1	633A	99.0588	1940	2034	Conness Pond	Sixty Lake
CP3F2	633A	99.0255	1953	2220	Conness Pond	Sixty Lake
CP5A	633A	99.0923	1935	2037	Conness Pond	Sixty Lake
CP6A	633A	99.0189	1959	2228	Conness Pond	Sixty Lake
623B	638A1	99.9776	2120	2146	Sixty Lake	Sixty Lake
629A2A	638A1	99.9723	2127	2152	Sixty Lake	Sixty Lake
630A	638A1	99.9705	2119	2146	Sixty Lake	Sixty Lake
631B	638A1	99.9774	2124	2154	Sixty Lake	Sixty Lake
632B	638A1	98.9147	1959	2079	Sixty Lake	Sixty Lake
633A	638A1	98.8978	1960	2078	Sixty Lake	Sixty Lake
638A1	638A1	100	2132	2136	Sixty Lake	Sixty Lake
642A	638A1	98.8918	1963	2081	Sixty Lake	Sixty Lake
643E	638A1	99.9766	2121	2148	Sixty Lake	Sixty Lake
CP10A	638A1	98.8669	1918	2040	Conness Pond	Sixty Lake
CP13A	638A1	98.8199	1934	2223	Conness Pond	Sixty Lake
CP15C	638A1	98.7946	1930	2226	Conness Pond	Sixty Lake
CP17D	638A1	98.9014	1935	2056	Conness Pond	Sixty Lake
CP19F2	638A1	98.8113	1930	2227	Conness Pond	Sixty Lake
CP20G1	638A1	98.8401	1916	2034	Conness Pond	Sixty Lake
CP3F2	638A1	98.8391	1932	2220	Conness Pond	Sixty Lake
CP5A	638A1	98.8534	1915	2037	Conness Pond	Sixty Lake
CP6A	638A1	98.8484	1923	2228	Conness Pond	Sixty Lake
623B	642A	98.8706	1973	2146	Sixty Lake	Sixty Lake
629A2A	642A	98.8808	1968	2152	Sixty Lake	Sixty Lake
630A	642A	98.8569	1968	2146	Sixty Lake	Sixty Lake
631B	642A	98.9012	1976	2154	Sixty Lake	Sixty Lake
632B	642A	99.985	2062	2079	Sixty Lake	Sixty Lake
633A	642A	99.9839	2062	2078	Sixty Lake	Sixty Lake
638A1	642A	98.8552	1967	2136	Sixty Lake	Sixty Lake
642A	642A	100	2078	2081	Sixty Lake	Sixty Lake
643E	642A	98.8702	1982	2148	Sixty Lake	Sixty Lake
CP10A	642A	99.0907	1938	2040	Conness Pond	Sixty Lake
CP13A	642A	99.0563	1959	2223	Conness Pond	Sixty Lake
CP15C	642A	99.0293	1965	2226	Conness Pond	Sixty Lake
CP17D	642A	99.2012	1950	2056	Conness Pond	Sixty Lake
CP19F2	642A	99.0526	1960	2227	Conness Pond	Sixty Lake
CP20G1	642A	99.0758	1928	2034	Conness Pond	Sixty Lake
CP3F2	642A	99.0268	1953	2220	Conness Pond	Sixty Lake
CP5A	642A	99.0829	1939	2037	Conness Pond	Sixty Lake
CP6A	642A	99.0156	1962	2228	Conness Pond	Sixty Lake
623B	643E	99.9876	2126	2146	Sixty Lake	Sixty Lake
629A2A	643E	99.9841	2128	2152	Sixty Lake	Sixty Lake
630A	643E	99.9829	2131	2146	Sixty Lake	Sixty Lake
631B	643E	99.9865	2138	2154	Sixty Lake	Sixty Lake
632B	643E	98.9281	1964	2079	Sixty Lake	Sixty Lake
633A	643E	98.8895	1968	2078	Sixty Lake	Sixty Lake
638A1	643E	99.9817	2127	2136	Sixty Lake	Sixty Lake
642A	643E	98.9044	1974	2081	Sixty Lake	Sixty Lake
643E	643E	100	2143	2148	Sixty Lake	Sixty Lake
CP10A	643E	98.8725	1934	2040	Conness Pond	Sixty Lake
CP13A	643E	98.8215	1939	2223	Conness Pond	Sixty Lake
CP15C	643E	98.811	1943	2226	Conness Pond	Sixty Lake
CP17D	643E	98.914	1942	2056	Conness Pond	Sixty Lake
CP19F2	643E	98.8074	1947	2227	Conness Pond	Sixty Lake
CP20G1	643E	98.8415	1926	2034	Conness Pond	Sixty Lake
CP3F2	643E	98.8158	1940	2220	Conness Pond	Sixty Lake
CP5A	643E	98.8698	1925	2037	Conness Pond	Sixty Lake
CP6A	643E	98.8505	1940	2228	Conness Pond	Sixty Lake
623B	CP10A	98.879	1930	2146	Sixty Lake	Conness Pond
629A2A	CP10A	98.8787	1928	2152	Sixty Lake	Conness Pond
630A	CP10A	98.8781	1925	2146	Sixty Lake	Conness Pond
631B	CP10A	98.8688	1929	2154	Sixty Lake	Conness Pond
632B	CP10A	99.0564	1936	2079	Sixty Lake	Conness Pond
633A	CP10A	99.0813	1926	2078	Sixty Lake	Conness Pond
638A1	CP10A	98.8985	1908	2136	Sixty Lake	Conness Pond
642A	CP10A	99.0592	1942	2081	Sixty Lake	Conness Pond
643E	CP10A	98.8924	1928	2148	Sixty Lake	Conness Pond
CP10A	CP10A	100	2037	2040	Conness Pond	Conness Pond
CP13A	CP10A	99.0309	1934	2223	Conness Pond	Conness Pond
CP15C	CP10A	99.0592	1942	2226	Conness Pond	Conness Pond
CP17D	CP10A	99.0838	1928	2056	Conness Pond	Conness Pond
CP19F2	CP10A	99.0146	1944	2227	Conness Pond	Conness Pond
CP20G1	CP10A	99.9852	2019	2034	Conness Pond	Conness Pond
CP3F2	CP10A	99.0555	1932	2220	Conness Pond	Conness Pond
CP5A	CP10A	99.9804	2026	2037	Conness Pond	Conness Pond
CP6A	CP10A	99.0175	1945	2228	Conness Pond	Conness Pond
623B	CP13A	98.8125	1940	2146	Sixty Lake	Conness Pond
629A2A	CP13A	98.7779	1953	2152	Sixty Lake	Conness Pond
630A	CP13A	98.7987	1949	2146	Sixty Lake	Conness Pond
631B	CP13A	98.7856	1955	2154	Sixty Lake	Conness Pond
632B	CP13A	99.0418	1956	2079	Sixty Lake	Conness Pond
633A	CP13A	99.0259	1951	2078	Sixty Lake	Conness Pond
638A1	CP13A	98.792	1942	2136	Sixty Lake	Conness Pond
642A	CP13A	99.015	1966	2081	Sixty Lake	Conness Pond
643E	CP13A	98.8374	1951	2148	Sixty Lake	Conness Pond
CP10A	CP13A	99.1112	1937	2040	Conness Pond	Conness Pond
CP13A	CP13A	100	2221	2223	Conness Pond	Conness Pond
CP15C	CP13A	99.9771	2206	2226	Conness Pond	Conness Pond
CP17D	CP13A	99.0919	1924	2056	Conness Pond	Conness Pond
CP19F2	CP13A	99.981	2212	2227	Conness Pond	Conness Pond
CP20G1	CP13A	99.0825	1931	2034	Conness Pond	Conness Pond
CP3F2	CP13A	99.9782	2203	2220	Conness Pond	Conness Pond
CP5A	CP13A	99.0771	1938	2037	Conness Pond	Conness Pond
CP6A	CP13A	99.9807	2207	2228	Conness Pond	Conness Pond
623B	CP15C	98.8138	1938	2146	Sixty Lake	Conness Pond
629A2A	CP15C	98.7862	1949	2152	Sixty Lake	Conness Pond
630A	CP15C	98.7965	1947	2146	Sixty Lake	Conness Pond
631B	CP15C	98.7883	1957	2154	Sixty Lake	Conness Pond
632B	CP15C	99.0525	1955	2079	Sixty Lake	Conness Pond
633A	CP15C	99.0221	1960	2078	Sixty Lake	Conness Pond
638A1	CP15C	98.7933	1944	2136	Sixty Lake	Conness Pond
642A	CP15C	98.9941	1975	2081	Sixty Lake	Conness Pond
643E	CP15C	98.829	1952	2148	Sixty Lake	Conness Pond
CP10A	CP15C	99.0826	1940	2040	Conness Pond	Conness Pond
CP13A	CP15C	99.9723	2210	2223	Conness Pond	Conness Pond
CP15C	CP15C	100	2217	2226	Conness Pond	Conness Pond
CP17D	CP15C	99.0826	1919	2056	Conness Pond	Conness Pond
CP19F2	CP15C	99.977	2211	2227	Conness Pond	Conness Pond
CP20G1	CP15C	99.0632	1944	2034	Conness Pond	Conness Pond
CP3F2	CP15C	99.9754	2204	2220	Conness Pond	Conness Pond
CP5A	CP15C	99.0598	1947	2037	Conness Pond	Conness Pond
CP6A	CP15C	99.978	2214	2228	Conness Pond	Conness Pond
623B	CP17D	98.8757	1945	2146	Sixty Lake	Conness Pond
629A2A	CP17D	98.8694	1946	2152	Sixty Lake	Conness Pond
630A	CP17D	98.8488	1939	2146	Sixty Lake	Conness Pond
631B	CP17D	98.9038	1947	2154	Sixty Lake	Conness Pond
632B	CP17D	99.1704	1946	2079	Sixty Lake	Conness Pond
633A	CP17D	99.1765	1944	2078	Sixty Lake	Conness Pond
638A1	CP17D	98.8778	1929	2136	Sixty Lake	Conness Pond
642A	CP17D	99.1478	1949	2081	Sixty Lake	Conness Pond
643E	CP17D	98.9005	1939	2148	Sixty Lake	Conness Pond
CP10A	CP17D	99.0718	1931	2040	Conness Pond	Conness Pond
CP13A	CP17D	99.0914	1917	2223	Conness Pond	Conness Pond
CP15C	CP17D	99.0616	1921	2226	Conness Pond	Conness Pond
CP17D	CP17D	100	2050	2056	Conness Pond	Conness Pond
CP19F2	CP17D	99.062	1923	2227	Conness Pond	Conness Pond
CP20G1	CP17D	99.0846	1921	2034	Conness Pond	Conness Pond
CP3F2	CP17D	99.0557	1920	2220	Conness Pond	Conness Pond
CP5A	CP17D	99.0986	1925	2037	Conness Pond	Conness Pond
CP6A	CP17D	99.0591	1927	2228	Conness Pond	Conness Pond
623B	CP19F2	98.8107	1940	2146	Sixty Lake	Conness Pond
629A2A	CP19F2	98.8117	1944	2152	Sixty Lake	Conness Pond
630A	CP19F2	98.8099	1939	2146	Sixty Lake	Conness Pond
631B	CP19F2	98.7942	1954	2154	Sixty Lake	Conness Pond
632B	CP19F2	99.0162	1962	2079	Sixty Lake	Conness Pond
633A	CP19F2	99.0208	1956	2078	Sixty Lake	Conness Pond
638A1	CP19F2	98.7969	1941	2136	Sixty Lake	Conness Pond
642A	CP19F2	99.0146	1964	2081	Sixty Lake	Conness Pond
643E	CP19F2	98.8365	1943	2148	Sixty Lake	Conness Pond
CP10A	CP19F2	99.104	1937	2040	Conness Pond	Conness Pond
CP13A	CP19F2	99.9836	2208	2223	Conness Pond	Conness Pond
CP15C	CP19F2	99.9769	2207	2226	Conness Pond	Conness Pond
CP17D	CP19F2	99.0875	1923	2056	Conness Pond	Conness Pond
CP19F2	CP19F2	100	2224	2227	Conness Pond	Conness Pond
CP20G1	CP19F2	99.0698	1934	2034	Conness Pond	Conness Pond
CP3F2	CP19F2	99.9781	2204	2220	Conness Pond	Conness Pond
CP5A	CP19F2	99.0692	1941	2037	Conness Pond	Conness Pond
CP6A	CP19F2	99.9794	2209	2228	Conness Pond	Conness Pond
623B	CP20G1	98.8948	1922	2146	Sixty Lake	Conness Pond
629A2A	CP20G1	98.8759	1937	2152	Sixty Lake	Conness Pond
630A	CP20G1	98.8864	1924	2146	Sixty Lake	Conness Pond
631B	CP20G1	98.8868	1926	2154	Sixty Lake	Conness Pond
632B	CP20G1	99.0868	1933	2079	Sixty Lake	Conness Pond
633A	CP20G1	99.0724	1934	2078	Sixty Lake	Conness Pond
638A1	CP20G1	98.8949	1919	2136	Sixty Lake	Conness Pond
642A	CP20G1	99.0578	1939	2081	Sixty Lake	Conness Pond
643E	CP20G1	98.8964	1929	2148	Sixty Lake	Conness Pond
CP10A	CP20G1	99.9813	2028	2040	Conness Pond	Conness Pond
CP13A	CP20G1	99.05	1940	2223	Conness Pond	Conness Pond
CP15C	CP20G1	99.0695	1940	2226	Conness Pond	Conness Pond
CP17D	CP20G1	99.0936	1933	2056	Conness Pond	Conness Pond
CP19F2	CP20G1	99.0396	1934	2227	Conness Pond	Conness Pond
CP20G1	CP20G1	100	2031	2034	Conness Pond	Conness Pond
CP3F2	CP20G1	99.0737	1934	2220	Conness Pond	Conness Pond
CP5A	CP20G1	99.9833	2025	2037	Conness Pond	Conness Pond
CP6A	CP20G1	99.0635	1936	2228	Conness Pond	Conness Pond
623B	CP3F2	98.7979	1943	2146	Sixty Lake	Conness Pond
629A2A	CP3F2	98.7921	1943	2152	Sixty Lake	Conness Pond
630A	CP3F2	98.8129	1935	2146	Sixty Lake	Conness Pond
631B	CP3F2	98.7658	1951	2154	Sixty Lake	Conness Pond
632B	CP3F2	99.0459	1958	2079	Sixty Lake	Conness Pond
633A	CP3F2	99.0453	1950	2078	Sixty Lake	Conness Pond
638A1	CP3F2	98.845	1928	2136	Sixty Lake	Conness Pond
642A	CP3F2	99.0103	1960	2081	Sixty Lake	Conness Pond
643E	CP3F2	98.8289	1945	2148	Sixty Lake	Conness Pond
CP10A	CP3F2	99.103	1930	2040	Conness Pond	Conness Pond
CP13A	CP3F2	99.9788	2205	2223	Conness Pond	Conness Pond
CP15C	CP3F2	99.9812	2201	2226	Conness Pond	Conness Pond
CP17D	CP3F2	99.1048	1921	2056	Conness Pond	Conness Pond
CP19F2	CP3F2	99.981	2206	2227	Conness Pond	Conness Pond
CP20G1	CP3F2	99.0917	1927	2034	Conness Pond	Conness Pond
CP3F2	CP3F2	100	2214	2220	Conness Pond	Conness Pond
CP5A	CP3F2	99.0743	1925	2037	Conness Pond	Conness Pond
CP6A	CP3F2	99.979	2208	2228	Conness Pond	Conness Pond
623B	CP5A	98.8873	1920	2146	Sixty Lake	Conness Pond
629A2A	CP5A	98.8718	1933	2152	Sixty Lake	Conness Pond
630A	CP5A	98.8995	1920	2146	Sixty Lake	Conness Pond
631B	CP5A	98.8807	1926	2154	Sixty Lake	Conness Pond
632B	CP5A	99.0412	1940	2079	Sixty Lake	Conness Pond
633A	CP5A	99.0423	1929	2078	Sixty Lake	Conness Pond
638A1	CP5A	98.8781	1916	2136	Sixty Lake	Conness Pond
642A	CP5A	98.996	1939	2081	Sixty Lake	Conness Pond
643E	CP5A	98.8783	1929	2148	Sixty Lake	Conness Pond
CP10A	CP5A	99.9772	2029	2040	Conness Pond	Conness Pond
CP13A	CP5A	99.0561	1932	2223	Conness Pond	Conness Pond
CP15C	CP5A	99.066	1935	2226	Conness Pond	Conness Pond
CP17D	CP5A	99.0764	1928	2056	Conness Pond	Conness Pond
CP19F2	CP5A	99.019	1936	2227	Conness Pond	Conness Pond
CP20G1	CP5A	99.9821	2018	2034	Conness Pond	Conness Pond
CP3F2	CP5A	99.0834	1920	2220	Conness Pond	Conness Pond
CP5A	CP5A	100	2036	2037	Conness Pond	Conness Pond
CP6A	CP5A	99.0565	1935	2228	Conness Pond	Conness Pond
623B	CP6A	98.799	1944	2146	Sixty Lake	Conness Pond
629A2A	CP6A	98.8047	1954	2152	Sixty Lake	Conness Pond
630A	CP6A	98.7938	1948	2146	Sixty Lake	Conness Pond
631B	CP6A	98.8008	1952	2154	Sixty Lake	Conness Pond
632B	CP6A	99.0333	1962	2079	Sixty Lake	Conness Pond
633A	CP6A	98.9864	1963	2078	Sixty Lake	Conness Pond
638A1	CP6A	98.7889	1941	2136	Sixty Lake	Conness Pond
642A	CP6A	99.0331	1970	2081	Sixty Lake	Conness Pond
643E	CP6A	98.8225	1954	2148	Sixty Lake	Conness Pond
CP10A	CP6A	99.1078	1939	2040	Conness Pond	Conness Pond
CP13A	CP6A	99.9799	2209	2223	Conness Pond	Conness Pond
CP15C	CP6A	99.9776	2209	2226	Conness Pond	Conness Pond
CP17D	CP6A	99.0608	1923	2056	Conness Pond	Conness Pond
CP19F2	CP6A	99.9779	2210	2227	Conness Pond	Conness Pond
CP20G1	CP6A	99.0717	1939	2034	Conness Pond	Conness Pond
CP3F2	CP6A	99.9743	2205	2220	Conness Pond	Conness Pond
CP5A	CP6A	99.0732	1934	2037	Conness Pond	Conness Pond
CP6A	CP6A	100	2225	2228	Conness Pond	Conness Pond
