Gene	p_value	odds_ratio	n_strong_present	n_weak_present	p_adj	Direction	Category	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	go_id	go_name	go_aspect
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0070402	F:NADPH binding	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0008753	F:NADPH dehydrogenase (quinone) activity	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0016616	F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	IBA:GO_Central
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0048038	F:quinone binding	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0044597	P:daunorubicin metabolic process	IMP:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0044598	P:doxorubicin metabolic process	IMP:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0006633	P:fatty acid biosynthetic process	IMP:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0046949	P:fatty-acyl-CoA biosynthetic process	TAS:Reactome
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0051290	P:protein heterotetramerization	IDA:UniProtKB
fabG_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	GO:0051289	P:protein homotetramerization	IDA:UniProtKB
rssA	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8GP19.2|	Q8GP19	RecName: Full=Swarming motility regulation sensor protein RssA [Serratia marcescens]	30.548	383	7.85e-43	160	GO:0005886	C:plasma membrane	IEA:UniProtKB-SubCell
rssA	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8GP19.2|	Q8GP19	RecName: Full=Swarming motility regulation sensor protein RssA [Serratia marcescens]	30.548	383	7.85e-43	160	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
rssA	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q8GP19.2|	Q8GP19	RecName: Full=Swarming motility regulation sensor protein RssA [Serratia marcescens]	30.548	383	7.85e-43	160	GO:0000155	F:phosphorelay sensor kinase activity	IEA:InterPro
putP_2	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
menE	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q7TYX8.2|	Q7TYX8	RecName: Full=Long-chain-fatty-acid--CoA ligase FadD15; Short=FACL; AltName: Full=Acyl-CoA synthetase [Mycobacterium tuberculosis variant bovis AF2122/97]	30.709	254	9.27e-28	120	GO:0016020	C:membrane	IEA:TreeGrafter
menE	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q7TYX8.2|	Q7TYX8	RecName: Full=Long-chain-fatty-acid--CoA ligase FadD15; Short=FACL; AltName: Full=Acyl-CoA synthetase [Mycobacterium tuberculosis variant bovis AF2122/97]	30.709	254	9.27e-28	120	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
menE	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q7TYX8.2|	Q7TYX8	RecName: Full=Long-chain-fatty-acid--CoA ligase FadD15; Short=FACL; AltName: Full=Acyl-CoA synthetase [Mycobacterium tuberculosis variant bovis AF2122/97]	30.709	254	9.27e-28	120	GO:0004467	F:long-chain fatty acid-CoA ligase activity	IEA:UniProtKB-EC
menE	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q7TYX8.2|	Q7TYX8	RecName: Full=Long-chain-fatty-acid--CoA ligase FadD15; Short=FACL; AltName: Full=Acyl-CoA synthetase [Mycobacterium tuberculosis variant bovis AF2122/97]	30.709	254	9.27e-28	120	GO:0006633	P:fatty acid biosynthetic process	IEA:UniProtKB-UniPathway
peb1A_2	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q0P9X8.1|	Q0P9X8	RecName: Full=Major cell-binding factor; AltName: Full=CBF1; AltName: Full=PEB1; Flags: Precursor [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	30.579	121	2.94e-7	53.9	GO:0009986	C:cell surface	IEA:UniProtKB-SubCell
peb1A_2	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q0P9X8.1|	Q0P9X8	RecName: Full=Major cell-binding factor; AltName: Full=CBF1; AltName: Full=PEB1; Flags: Precursor [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	30.579	121	2.94e-7	53.9	GO:0005576	C:extracellular region	IEA:TreeGrafter
peb1A_2	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q0P9X8.1|	Q0P9X8	RecName: Full=Major cell-binding factor; AltName: Full=CBF1; AltName: Full=PEB1; Flags: Precursor [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	30.579	121	2.94e-7	53.9	GO:0030288	C:outer membrane-bounded periplasmic space	IEA:TreeGrafter
peb1A_2	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q0P9X8.1|	Q0P9X8	RecName: Full=Major cell-binding factor; AltName: Full=CBF1; AltName: Full=PEB1; Flags: Precursor [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]	30.579	121	2.94e-7	53.9	GO:0006865	P:amino acid transport	IEA:TreeGrafter
group_3853	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	GO:0005739	C:mitochondrion	IBA:GO_Central
group_3853	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	GO:0051990	F:(R)-2-hydroxyglutarate dehydrogenase activity	ISS:UniProtKB
group_3853	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	GO:0071949	F:FAD binding	IEA:InterPro
group_3853	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	GO:0008270	F:zinc ion binding	ISS:UniProtKB
group_3853	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|Q1JPD3.2|	Q1JPD3	RecName: Full=D-2-hydroxyglutarate dehydrogenase, mitochondrial; Flags: Precursor [Bos taurus]	36.229	472	3.29e-72	241	GO:0006108	P:malate metabolic process	ISS:UniProtKB
tcyC_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	GO:0005886	C:plasma membrane	IBA:GO_Central
tcyC_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	GO:0015424	F:ABC-type amino acid transporter activity	IEA:InterPro
tcyC_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
tcyC_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	GO:0016887	F:ATP hydrolysis activity	IEA:InterPro
tcyC_3	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P39456.4|	P39456	RecName: Full=L-cystine import ATP-binding protein TcyC [Bacillus subtilis subsp. subtilis str. 168]	50.41	244	1.37e-83	253	GO:0042626	F:ATPase-coupled transmembrane transporter activity	IBA:GO_Central
fliY_6	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gltC_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P52662.1|	P52662	RecName: Full=HTH-type transcriptional regulator PecT; AltName: Full=Pectinase gene transcriptional regulator [Dickeya dadantii 3937]	47.826	276	5.77e-91	275	GO:0003677	F:DNA binding	IEA:UniProtKB-KW
gltC_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P52662.1|	P52662	RecName: Full=HTH-type transcriptional regulator PecT; AltName: Full=Pectinase gene transcriptional regulator [Dickeya dadantii 3937]	47.826	276	5.77e-91	275	GO:0003700	F:DNA-binding transcription factor activity	IEA:InterPro
yecS_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P42399.1|	P42399	RecName: Full=Probable amino-acid ABC transporter permease protein YckA [Bacillus subtilis subsp. subtilis str. 168]	31.977	172	4.48e-18	82.8	GO:0043190	C:ATP-binding cassette (ABC) transporter complex	IEA:InterPro
yecS_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P42399.1|	P42399	RecName: Full=Probable amino-acid ABC transporter permease protein YckA [Bacillus subtilis subsp. subtilis str. 168]	31.977	172	4.48e-18	82.8	GO:0005886	C:plasma membrane	IBA:GO_Central
yecS_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P42399.1|	P42399	RecName: Full=Probable amino-acid ABC transporter permease protein YckA [Bacillus subtilis subsp. subtilis str. 168]	31.977	172	4.48e-18	82.8	GO:0022857	F:transmembrane transporter activity	IEA:InterPro
yecS_4	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P42399.1|	P42399	RecName: Full=Probable amino-acid ABC transporter permease protein YckA [Bacillus subtilis subsp. subtilis str. 168]	31.977	172	4.48e-18	82.8	GO:0006865	P:amino acid transport	IBA:GO_Central
aatB	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0005737	C:cytoplasm	IEA:UniProtKB-SubCell
aatB	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0047536	F:2-aminoadipate transaminase activity	IEA:UniProtKB-EC
aatB	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0004069	F:L-aspartate:2-oxoglutarate aminotransferase activity	IEA:UniProtKB-EC
aatB	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0030170	F:pyridoxal phosphate binding	IEA:InterPro
aatB	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0006520	P:amino acid metabolic process	IEA:InterPro
group_3852	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yfcG_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P77526.1|	P77526	RecName: Full=Disulfide-bond oxidoreductase YfcG; AltName: Full=GSH-dependent disulfide-bond oxidoreductase YfcG; AltName: Full=GST N1-1; AltName: Full=GST-like protein YfcG; AltName: Full=Organic hydroperoxidase [Escherichia coli K-12]	47.573	206	3.36e-44	150	GO:0005737	C:cytoplasm	IBA:GO_Central
yfcG_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P77526.1|	P77526	RecName: Full=Disulfide-bond oxidoreductase YfcG; AltName: Full=GSH-dependent disulfide-bond oxidoreductase YfcG; AltName: Full=GST N1-1; AltName: Full=GST-like protein YfcG; AltName: Full=Organic hydroperoxidase [Escherichia coli K-12]	47.573	206	3.36e-44	150	GO:0015036	F:disulfide oxidoreductase activity	IDA:EcoCyc
yfcG_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P77526.1|	P77526	RecName: Full=Disulfide-bond oxidoreductase YfcG; AltName: Full=GSH-dependent disulfide-bond oxidoreductase YfcG; AltName: Full=GST N1-1; AltName: Full=GST-like protein YfcG; AltName: Full=Organic hydroperoxidase [Escherichia coli K-12]	47.573	206	3.36e-44	150	GO:0004364	F:glutathione transferase activity	IBA:GO_Central
yfcG_5	0.0079365079365079309	Inf	5	0	0.00812826249067859	Enriched in Strong	Accessory	sp|P77526.1|	P77526	RecName: Full=Disulfide-bond oxidoreductase YfcG; AltName: Full=GSH-dependent disulfide-bond oxidoreductase YfcG; AltName: Full=GST N1-1; AltName: Full=GST-like protein YfcG; AltName: Full=Organic hydroperoxidase [Escherichia coli K-12]	47.573	206	3.36e-44	150	GO:0004601	F:peroxidase activity	IEA:UniProtKB-KW
