qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	go_id	go_name	go_aspect
COQ3_2	sp|P31049.1|	P31049	RecName: Full=Probable fatty acid methyltransferase; AltName: Full=ORF3; AltName: Full=S-adenosylmethionine-dependent methyltransferase; Short=AdoMet-MT; Short=SAM-MT [Pseudomonas putida]	77.411	394	0	624	GO:0008168	F:methyltransferase activity	IEA:UniProtKB-KW
COQ3_2	sp|P31049.1|	P31049	RecName: Full=Probable fatty acid methyltransferase; AltName: Full=ORF3; AltName: Full=S-adenosylmethionine-dependent methyltransferase; Short=AdoMet-MT; Short=SAM-MT [Pseudomonas putida]	77.411	394	0	624	GO:0008610	P:lipid biosynthetic process	IEA:InterPro
COQ3_2	sp|P31049.1|	P31049	RecName: Full=Probable fatty acid methyltransferase; AltName: Full=ORF3; AltName: Full=S-adenosylmethionine-dependent methyltransferase; Short=AdoMet-MT; Short=SAM-MT [Pseudomonas putida]	77.411	394	0	624	GO:0032259	P:methylation	IEA:UniProtKB-KW
COQ5_2	sp|A0QUV5.1|	A0QUV5	RecName: Full=Probable S-adenosylmethionine-dependent methyltransferase MSMEG_2350/MSMEI_2290 [Mycolicibacterium smegmatis MC2 155]	33.333	141	1.99e-11	65.5	GO:0008757	F:S-adenosylmethionine-dependent methyltransferase activity	IEA:InterPro
COQ5_2	sp|A0QUV5.1|	A0QUV5	RecName: Full=Probable S-adenosylmethionine-dependent methyltransferase MSMEG_2350/MSMEI_2290 [Mycolicibacterium smegmatis MC2 155]	33.333	141	1.99e-11	65.5	GO:0032259	P:methylation	IEA:UniProtKB-KW
FCS1	sp|A0A2P1BT06.1|	A0A2P1BT06	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase [unidentified prokaryotic organism]	32.603	365	1.7099999999999998e-35	146	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
FCS1	sp|A0A2P1BT06.1|	A0A2P1BT06	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase [unidentified prokaryotic organism]	32.603	365	1.7099999999999998e-35	146	GO:0046872	F:metal ion binding	IEA:InterPro
FCS1	sp|A0A2P1BT06.1|	A0A2P1BT06	RecName: Full=Trans-feruloyl-CoA synthase FCS1; AltName: Full=Feruloyl coenzyme A synthetase; AltName: Full=Trans-feruloyl-CoA synthetase [unidentified prokaryotic organism]	32.603	365	1.7099999999999998e-35	146	GO:0050563	F:trans-feruloyl-CoA synthase activity	IEA:UniProtKB-EC
LhpG	sp|Q08IB7.1|	Q08IB7	RecName: Full=Alpha-ketoglutaric semialdehyde dehydrogenase 3; Short=alphaKGSA dehydrogenase 3; AltName: Full=2,5-dioxovalerate dehydrogenase 3; AltName: Full=KGSADH-III [Azospirillum brasilense]	63.209	511	0	608	GO:0047533	F:2,5-dioxovalerate dehydrogenase (NADP+) activity	IEA:UniProtKB-EC
QRSL1	sp|Q60CK8.1|	Q60CK8	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	5.2600000000000004e-21	99.8	GO:0030956	C:glutamyl-tRNA(Gln) amidotransferase complex	IEA:InterPro
QRSL1	sp|Q60CK8.1|	Q60CK8	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	5.2600000000000004e-21	99.8	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
QRSL1	sp|Q60CK8.1|	Q60CK8	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	5.2600000000000004e-21	99.8	GO:0050567	F:glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	IEA:UniProtKB-UniRule
QRSL1	sp|Q60CK8.1|	Q60CK8	RecName: Full=Glutamyl-tRNA(Gln) amidotransferase subunit A; Short=Glu-ADT subunit A [Methylococcus capsulatus str. Bath]	36.937	222	5.2600000000000004e-21	99.8	GO:0006412	P:translation	IEA:UniProtKB-UniRule
aaaT	sp|P46854.1|	P46854	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	3.1e-36	126	GO:0016747	F:acyltransferase activity, transferring groups other than amino-acyl groups	IBA:GO_Central
aaaT	sp|P46854.1|	P46854	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	3.1e-36	126	GO:0103045	F:L-methionine N-acyltransferase activity	IEA:RHEA
aaaT	sp|P46854.1|	P46854	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	3.1e-36	126	GO:0050176	F:L-phenylalanine N-acetyltransferase activity	IEA:UniProtKB-EC
aaaT	sp|P46854.1|	P46854	RecName: Full=L-amino acid N-acetyltransferase AaaT; AltName: Full=L-methionine N-acetyltransferase; AltName: Full=L-phenylalanine N-acetyltransferase [Escherichia coli K-12]	39.375	160	3.1e-36	126	GO:0008080	F:N-acetyltransferase activity	IDA:EcoCyc
aaeA_1	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	44.318	264	5.72e-64	205	GO:0016020	C:membrane	IEA:UniProtKB-SubCell
aaeA_1	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	44.318	264	5.72e-64	205	GO:0022857	F:transmembrane transporter activity	IBA:GO_Central
aaeA_1	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	44.318	264	5.72e-64	205	GO:0055085	P:transmembrane transport	IBA:GO_Central
aaeA_2	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	43.254	252	1.4799999999999999e-68	218	GO:0016020	C:membrane	IEA:UniProtKB-SubCell
aaeA_2	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	43.254	252	1.4799999999999999e-68	218	GO:0022857	F:transmembrane transporter activity	IBA:GO_Central
aaeA_2	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	43.254	252	1.4799999999999999e-68	218	GO:0055085	P:transmembrane transport	IBA:GO_Central
aaeB_1	sp|A4THF0.1|	A4THF0	RecName: Full=p-hydroxybenzoic acid efflux pump subunit AaeB; Short=pHBA efflux pump protein B [Yersinia pestis Pestoides F]	38.012	171	7.48e-15	81.6	GO:0005886	C:plasma membrane	IEA:UniProtKB-SubCell
aaeB_1	sp|A4THF0.1|	A4THF0	RecName: Full=p-hydroxybenzoic acid efflux pump subunit AaeB; Short=pHBA efflux pump protein B [Yersinia pestis Pestoides F]	38.012	171	7.48e-15	81.6	GO:0022857	F:transmembrane transporter activity	IEA:UniProtKB-UniRule
aaeB_1	sp|A4THF0.1|	A4THF0	RecName: Full=p-hydroxybenzoic acid efflux pump subunit AaeB; Short=pHBA efflux pump protein B [Yersinia pestis Pestoides F]	38.012	171	7.48e-15	81.6	GO:0046942	P:carboxylic acid transport	IEA:InterPro
aaeB_2	sp|P24128.1|	P24128	RecName: Full=Fusaric acid resistance protein FusC [Burkholderia cepacia]	44.509	346	5.43e-74	246	GO:0005886	C:plasma membrane	IEA:UniProtKB-SubCell
aaeB_2	sp|P24128.1|	P24128	RecName: Full=Fusaric acid resistance protein FusC [Burkholderia cepacia]	44.509	346	5.43e-74	246	GO:0022857	F:transmembrane transporter activity	IEA:InterPro
aam_1	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	1.16e-71	237	GO:0004040	F:amidase activity	IDA:UniProtKB
aam_1	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	1.16e-71	237	GO:0004046	F:aminoacylase activity	IDA:UniProtKB
aam_1	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	1.16e-71	237	GO:0047680	F:aryl-acylamidase activity	IDA:UniProtKB
aam_1	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	1.16e-71	237	GO:0043605	P:amide catabolic process	IDA:UniProtKB
aam_2	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	2.6899999999999997e-41	155	GO:0004040	F:amidase activity	IDA:UniProtKB
aam_2	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	2.6899999999999997e-41	155	GO:0004046	F:aminoacylase activity	IDA:UniProtKB
aam_2	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	2.6899999999999997e-41	155	GO:0047680	F:aryl-acylamidase activity	IDA:UniProtKB
aam_2	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	2.6899999999999997e-41	155	GO:0043605	P:amide catabolic process	IDA:UniProtKB
aat	sp|C3JY59.1|	C3JY59	RecName: Full=Leucyl/phenylalanyl-tRNA--protein transferase; AltName: Full=L/F-transferase; AltName: Full=Leucyltransferase; AltName: Full=Phenyalanyltransferase [Pseudomonas [fluorescens] SBW25]	93.363	226	1.0699999999999998e-159	443	GO:0005737	C:cytoplasm	IEA:UniProtKB-SubCell
aat	sp|C3JY59.1|	C3JY59	RecName: Full=Leucyl/phenylalanyl-tRNA--protein transferase; AltName: Full=L/F-transferase; AltName: Full=Leucyltransferase; AltName: Full=Phenyalanyltransferase [Pseudomonas [fluorescens] SBW25]	93.363	226	1.0699999999999998e-159	443	GO:0008914	F:leucyl-tRNA--protein transferase activity	IEA:UniProtKB-UniRule
aat	sp|C3JY59.1|	C3JY59	RecName: Full=Leucyl/phenylalanyl-tRNA--protein transferase; AltName: Full=L/F-transferase; AltName: Full=Leucyltransferase; AltName: Full=Phenyalanyltransferase [Pseudomonas [fluorescens] SBW25]	93.363	226	1.0699999999999998e-159	443	GO:0030163	P:protein catabolic process	IEA:UniProtKB-UniRule
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0005737	C:cytoplasm	IEA:UniProtKB-SubCell
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0047536	F:2-aminoadipate transaminase activity	IEA:UniProtKB-EC
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0004069	F:L-aspartate:2-oxoglutarate aminotransferase activity	IEA:UniProtKB-EC
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0030170	F:pyridoxal phosphate binding	IEA:InterPro
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	GO:0006520	P:amino acid metabolic process	IEA:InterPro
abaF	sp|P16482.1|	P16482	RecName: Full=Citrate-proton symporter; AltName: Full=Citrate carrier protein; AltName: Full=Citrate transporter [Klebsiella pneumoniae]	31.436	404	6.35e-54	189	GO:0005886	C:plasma membrane	IEA:UniProtKB-SubCell
abaF	sp|P16482.1|	P16482	RecName: Full=Citrate-proton symporter; AltName: Full=Citrate carrier protein; AltName: Full=Citrate transporter [Klebsiella pneumoniae]	31.436	404	6.35e-54	189	GO:0015293	F:symporter activity	IEA:UniProtKB-KW
abaF	sp|P16482.1|	P16482	RecName: Full=Citrate-proton symporter; AltName: Full=Citrate carrier protein; AltName: Full=Citrate transporter [Klebsiella pneumoniae]	31.436	404	6.35e-54	189	GO:0006101	P:citrate metabolic process	IEA:UniProtKB-KW
abaQ	sp|P0DPR4.1|	P0DPR4	RecName: Full=Quinolone resistance transporter [Acinetobacter baumannii]	73.827	405	0	533	GO:0005886	C:plasma membrane	IEA:UniProtKB-SubCell
abaQ	sp|P0DPR4.1|	P0DPR4	RecName: Full=Quinolone resistance transporter [Acinetobacter baumannii]	73.827	405	0	533	GO:0022857	F:transmembrane transporter activity	IEA:InterPro
abaQ	sp|P0DPR4.1|	P0DPR4	RecName: Full=Quinolone resistance transporter [Acinetobacter baumannii]	73.827	405	0	533	GO:0046677	P:response to antibiotic	IEA:UniProtKB-KW
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0005829	C:cytosol	TAS:Reactome
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:1905202	C:methylcrotonoyl-CoA carboxylase complex	IDA:ParkinsonsUK-UCL
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0005759	C:mitochondrial matrix	IDA:ParkinsonsUK-UCL
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0005739	C:mitochondrion	IDA:HPA
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0009374	F:biotin binding	NAS:UniProtKB
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0004075	F:biotin carboxylase activity	NAS:ParkinsonsUK-UCL
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0046872	F:metal ion binding	IEA:InterPro
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0004485	F:methylcrotonoyl-CoA carboxylase activity	IEA:UniProtKB-EC
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0006768	P:biotin metabolic process	NAS:UniProtKB
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0009083	P:branched-chain amino acid catabolic process	NAS:ComplexPortal
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	GO:0006552	P:L-leucine catabolic process	ISS:ParkinsonsUK-UCL
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	GO:0005759	C:mitochondrial matrix	IEA:UniProtKB-SubCell
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	GO:0005739	C:mitochondrion	ISS:dictyBase
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	GO:0005524	F:ATP binding	IEA:UniProtKB-KW
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	GO:0046872	F:metal ion binding	IEA:InterPro
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	GO:0004485	F:methylcrotonoyl-CoA carboxylase activity	ISS:dictyBase
