qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	kegg_gene_id	pathway_id	pathway_name
aaeA_2	sp|P76185.2|	P76185	RecName: Full=Uncharacterized protein YdhJ [Escherichia coli K-12]	43.254	252	1.4799999999999999e-68	218	NA	NA	NA
aaeB_1	sp|A4THF0.1|	A4THF0	RecName: Full=p-hydroxybenzoic acid efflux pump subunit AaeB; Short=pHBA efflux pump protein B [Yersinia pestis Pestoides F]	38.012	171	7.48e-15	81.6	NA	NA	NA
aaeB_2	sp|P24128.1|	P24128	RecName: Full=Fusaric acid resistance protein FusC [Burkholderia cepacia]	44.509	346	5.43e-74	246	NA	NA	NA
aam_1	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	37.773	458	1.16e-71	237	NA	NA	NA
aam_2	sp|K9NBS6.1|	K9NBS6	RecName: Full=Acylamidase [Rhodococcus erythropolis]	34.598	448	2.6899999999999997e-41	155	NA	NA	NA
aat	sp|C3JY59.1|	C3JY59	RecName: Full=Leucyl/phenylalanyl-tRNA--protein transferase; AltName: Full=L/F-transferase; AltName: Full=Leucyltransferase; AltName: Full=Phenyalanyltransferase [Pseudomonas [fluorescens] SBW25]	93.363	226	1.0699999999999998e-159	443	NA	NA	NA
aatB	sp|P58350.1|	P58350	RecName: Full=Aspartate aminotransferase; Short=AAT; Short=AspAT; AltName: Full=Putative 2-aminoadipate transaminase; AltName: Full=Transaminase A [Sinorhizobium meliloti 1021]	49.114	395	2.51e-112	337	NA	NA	NA
abaF	sp|P16482.1|	P16482	RecName: Full=Citrate-proton symporter; AltName: Full=Citrate carrier protein; AltName: Full=Citrate transporter [Klebsiella pneumoniae]	31.436	404	6.35e-54	189	NA	NA	NA
abaQ	sp|P0DPR4.1|	P0DPR4	RecName: Full=Quinolone resistance transporter [Acinetobacter baumannii]	73.827	405	0	533	NA	NA	NA
accA1_1	sp|Q96RQ3.3|	Q96RQ3	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Homo sapiens]	43.517	671	1.0799999999999998e-180	533	NA	NA	NA
accA1_2	sp|Q54KE6.1|	Q54KE6	RecName: Full=Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Short=MCCase subunit alpha; AltName: Full=3-methylcrotonyl-CoA carboxylase 1; AltName: Full=3-methylcrotonyl-CoA carboxylase biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha; Flags: Precursor [Dictyostelium discoideum]	46.2	671	0	550	NA	NA	NA
accA_1	sp|Q8T2J9.2|	Q8T2J9	RecName: Full=Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial; Short=MCCase subunit beta; AltName: Full=3-methylcrotonyl-CoA carboxylase 2; AltName: Full=3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit; AltName: Full=3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta; Flags: Precursor [Dictyostelium discoideum]	43.068	541	6.759999999999998e-145	432	NA	NA	NA
accA_2	sp|C3K6H2.1|	C3K6H2	RecName: Full=Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha; Short=ACCase subunit alpha; Short=Acetyl-CoA carboxylase carboxyltransferase subunit alpha [Pseudomonas [fluorescens] SBW25]	98.73	315	0	600	NA	NA	NA
accB	sp|P37799.1|	P37799	RecName: Full=Biotin carboxyl carrier protein of acetyl-CoA carboxylase; Short=BCCP [Pseudomonas aeruginosa PAO1]	73.718	156	4.29e-62	191	NA	NA	NA
accC	sp|P37798.1|	P37798	RecName: Full=Biotin carboxylase; AltName: Full=Acetyl-coenzyme A carboxylase biotin carboxylase subunit A [Pseudomonas aeruginosa PAO1]	83.07	443	0	753	NA	NA	NA
accD	sp|Q4KEZ8.1|	Q4KEZ8	RecName: Full=Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta; Short=ACCase subunit beta; Short=Acetyl-CoA carboxylase carboxyltransferase subunit beta [Pseudomonas protegens Pf-5]	94.118	306	0	569	NA	NA	NA
acdA_1	sp|P34275.2|	P34275	RecName: Full=Probable acyl-CoA dehydrogenase 6; AltName: Full=Probable isovaleryl-CoA dehydrogenase; Short=IVD [Caenorhabditis elegans]	51.064	376	2.4199999999999997e-136	398	NA	NA	NA
acdA_2	sp|P45867.1|	P45867	RecName: Full=Acyl-CoA dehydrogenase [Bacillus subtilis subsp. subtilis str. 168]	43.896	385	7.2299999999999996e-90	278	NA	NA	NA
aceA	sp|P51066.2|	P51066	RecName: Full=Isocitrate lyase; Short=ICL; AltName: Full=Isocitrase; AltName: Full=Isocitratase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	72.665	439	0	667	NA	NA	NA
aceE_1	sp|Q59637.2|	Q59637	RecName: Full=Pyruvate dehydrogenase E1 component; Short=PDH E1 component [Pseudomonas aeruginosa PAO1]	87.188	882	0	1635	NA	NA	NA
aceE_2	sp|Q59637.2|	Q59637	RecName: Full=Pyruvate dehydrogenase E1 component; Short=PDH E1 component [Pseudomonas aeruginosa PAO1]	55.468	887	0	936	NA	NA	NA
aceF	sp|Q59638.2|	Q59638	RecName: Full=Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; AltName: Full=Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex; AltName: Full=E2 [Pseudomonas aeruginosa PAO1]	74.317	549	0	606	NA	NA	NA
aceK	sp|Q3KGE4.1|	Q3KGE4	RecName: Full=Isocitrate dehydrogenase kinase/phosphatase; Short=IDH kinase/phosphatase; Short=IDHK/P [Pseudomonas fluorescens Pf0-1]	88.652	564	0	988	NA	NA	NA
ackA	sp|B3QA57.1|	B3QA57	RecName: Full=Acetate kinase; AltName: Full=Acetokinase [Rhodopseudomonas palustris TIE-1]	48.515	404	2.62e-111	335	NA	NA	NA
acnA	sp|Q9I3F5.1|	Q9I3F5	RecName: Full=Aconitate hydratase A; Short=ACN; Short=Aconitase; AltName: Full=(2R,3S)-2-methylisocitrate dehydratase; AltName: Full=(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase; AltName: Full=Iron-responsive protein-like; Short=IRP-like; AltName: Full=Probable 2-methyl-cis-aconitate hydratase; AltName: Full=RNA-binding protein [Pseudomonas aeruginosa PAO1]	83.974	911	0	1515	NA	NA	NA
acnB_2	sp|Q9I2V5.1|	Q9I2V5	RecName: Full=Aconitate hydratase B; Short=ACN; Short=Aconitase; AltName: Full=(2R,3S)-2-methylisocitrate dehydratase; AltName: Full=(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase; AltName: Full=2-methyl-cis-aconitate hydratase; AltName: Full=Iron-responsive protein-like; Short=IRP-like; AltName: Full=RNA-binding protein [Pseudomonas aeruginosa PAO1]	85.386	869	0	1500	NA	NA	NA
acnD_1	sp|Q8EJW3.1|	Q8EJW3	RecName: Full=2-methylcitrate dehydratase (2-methyl-trans-aconitate forming); AltName: Full=Aconitate hydratase; Short=ACN; Short=Aconitase [Shewanella oneidensis MR-1]	83.488	860	0	1479	NA	NA	NA
acoR_1	sp|P28614.2|	P28614	RecName: Full=Acetoin catabolism regulatory protein [Cupriavidus necator H16]	41.297	632	6.33e-128	395	NA	NA	NA
acoR_2	sp|P28614.2|	P28614	RecName: Full=Acetoin catabolism regulatory protein [Cupriavidus necator H16]	35.659	645	7.81e-104	331	NA	NA	NA
acpH	sp|A1JNT5.1|	A1JNT5	RecName: Full=Acyl carrier protein phosphodiesterase; Short=ACP phosphodiesterase [Yersinia enterocolitica subsp. enterocolitica 8081]	37.306	193	2.51e-36	128	NA	NA	NA
acpP_1	sp|Q8XSU8.1|	Q8XSU8	RecName: Full=Acyl carrier protein 2; Short=ACP 2 [Ralstonia pseudosolanacearum GMI1000]	45.57	79	5.28e-17	71.6	NA	NA	NA
acpP_3	sp|C3K0N3.1|	C3K0N3	RecName: Full=Acyl carrier protein; Short=ACP [Pseudomonas [fluorescens] SBW25]	97.436	78	6.069999999999999e-35	116	NA	NA	NA
acrA	sp|P0AE06.1|	P0AE06	RecName: Full=Multidrug efflux pump subunit AcrA; AltName: Full=AcrAB-TolC multidrug efflux pump subunit AcrA; AltName: Full=Acridine resistance protein A; AltName: Full=Membrane fusion protein AcrA; Flags: Precursor [Escherichia coli K-12]	43.575	358	5.11e-81	256	NA	NA	NA
acrB	sp|P24177.3|	P24177	RecName: Full=Probable aminoglycoside efflux pump; AltName: Full=Acriflavine resistance protein D [Escherichia coli K-12]	47.137	978	0	808	NA	NA	NA
acrE	sp|P24180.2|	P24180	RecName: Full=Multidrug export protein AcrE; AltName: Full=Acriflavine resistance protein E; AltName: Full=Protein EnvC; Flags: Precursor [Escherichia coli K-12]	45.856	362	1.1000000000000001e-79	253	NA	NA	NA
acsA_1	sp|Q88DW6.1|	Q88DW6	RecName: Full=Acetyl-coenzyme A synthetase 2; Short=AcCoA synthetase 2; Short=Acs 2; AltName: Full=Acetate--CoA ligase 2; AltName: Full=Acyl-activating enzyme 2 [Pseudomonas putida KT2440]	82.016	645	0	1088	NA	NA	NA
acsA_2	sp|P39062.1|	P39062	RecName: Full=Acetyl-coenzyme A synthetase; Short=AcCoA synthetase; Short=Acs; AltName: Full=Acetate--CoA ligase; AltName: Full=Acyl-activating enzyme [Bacillus subtilis subsp. subtilis str. 168]	36.101	554	3.98e-98	311	NA	NA	NA
acs_1	sp|Q88EH6.1|	Q88EH6	RecName: Full=Acetyl-coenzyme A synthetase 1; Short=AcCoA synthetase 1; Short=Acs 1; AltName: Full=Acetate--CoA ligase 1; AltName: Full=Acyl-activating enzyme 1 [Pseudomonas putida KT2440]	89.862	651	0	1228	NA	NA	NA
acs_3~~~acs_2	sp|Q9Z3R3.2|	Q9Z3R3	RecName: Full=Acetoacetyl-coenzyme A synthetase; Short=Acetoacetyl-CoA synthetase [Sinorhizobium meliloti 1021]	54.714	647	0	666	NA	NA	NA
actP	sp|A1JIK1.1|	A1JIK1	RecName: Full=Cation/acetate symporter ActP; AltName: Full=Acetate permease; AltName: Full=Acetate transporter ActP [Yersinia enterocolitica subsp. enterocolitica 8081]	85.15	532	0	822	NA	NA	NA
actP_2	sp|Q9X5V3.1|	Q9X5V3	RecName: Full=Copper-transporting P-type ATPase [Rhizobium leguminosarum bv. viciae]	64.198	162	1.47e-53	184	NA	NA	NA
ada	sp|P06134.2|	P06134	RecName: Full=Bifunctional transcriptional activator/DNA repair enzyme Ada; AltName: Full=Regulatory protein of adaptive response; Includes: RecName: Full=Methylphosphotriester-DNA--protein-cysteine S-methyltransferase; AltName: Full=Methylphosphotriester-DNA methyltransferase; Includes: RecName: Full=Methylated-DNA--protein-cysteine methyltransferase; AltName: Full=O6-methylguanine-DNA alkyltransferase [Escherichia coli K-12]	49.697	330	3.3999999999999993e-106	318	NA	NA	NA
adeP	sp|P31466.2|	P31466	RecName: Full=Adenine permease AdeP [Escherichia coli K-12]	51.163	430	1.9899999999999996e-152	443	NA	NA	NA
adeQ	sp|P31466.2|	P31466	RecName: Full=Adenine permease AdeP [Escherichia coli K-12]	50.812	431	1.51e-122	366	NA	NA	NA
adh1	sp|A4IP64.1|	A4IP64	RecName: Full=Long-chain-alcohol dehydrogenase 1; AltName: Full=Alcohol dehydrogenase 1; Short=ADH1; AltName: Full=Fatty alcohol oxidoreductase 1; AltName: Full=Glycerol dehydrogenase [Geobacillus thermodenitrificans NG80-2]	47.721	373	1.9399999999999998e-99	303	NA	NA	NA
adhA	sp|P9WQC0.1|	P9WQC0	RecName: Full=Probable alcohol dehydrogenase AdhA [Mycobacterium tuberculosis CDC1551]	44.904	314	7.96e-76	239	NA	NA	NA
adhB_1	sp|P37686.4|	P37686	RecName: Full=Probable alcohol dehydrogenase [Escherichia coli K-12]	67.979	381	0	522	NA	NA	NA
adhB_2	sp|P0A388.1|	P0A388	RecName: Full=Alcohol dehydrogenase (quinone), cytochrome c subunit; Short=ADH; AltName: Full=Alcohol dehydrogenase (quinone), subunit II; AltName: Full=Cytochrome c-553; AltName: Full=Cytochrome c553; AltName: Full=Ethanol:Q2 reductase; AltName: Full=G3-ADH subunit II; AltName: Full=Quinohemoprotein-cytochrome c complex; AltName: Full=Ubiquinol oxidase; Flags: Precursor [Gluconacetobacter polyoxogenes]	48.01	402	4.75e-125	374	NA	NA	NA
adhC2	sp|W8JDE0.1|	W8JDE0	RecName: Full=Alcohol dehydrogenase 9; Short=CrADH9 [Catharanthus roseus]	52.137	351	1.86e-115	342	NA	NA	NA
adh_1	sp|Q9ZAA1.1|	Q9ZAA1	RecName: Full=Acetaldehyde dehydrogenase [Pseudomonas aeruginosa]	86.561	506	0	852	NA	NA	NA
adh_1~~~adh_2	sp|Q0KDL6.1|	Q0KDL6	RecName: Full=Alcohol dehydrogenase [Cupriavidus necator H16]	68.044	363	6.279999999999999e-179	503	NA	NA	NA
adiA	sp|Q9I2S7.1|	Q9I2S7	RecName: Full=Lysine decarboxylase LdcA [Pseudomonas aeruginosa PAO1]	83.2	750	0	1312	NA	NA	NA
adk	sp|C3KEC6.1|	C3KEC6	RecName: Full=Adenylate kinase; Short=AK; AltName: Full=ATP-AMP transphosphorylase; AltName: Full=ATP:AMP phosphotransferase; AltName: Full=Adenylate monophosphate kinase [Pseudomonas [fluorescens] SBW25]	99.07	215	8.54e-141	395	NA	NA	NA
aer	sp|Q9I3F6.1|	Q9I3F6	RecName: Full=Methyl-accepting chemotaxis protein Aer; AltName: Full=Aerotaxis receptor Aer [Pseudomonas aeruginosa PAO1]	77.543	521	0	771	NA	NA	NA
aes_2	sp|Q9EX73.1|	Q9EX73	RecName: Full=Monoterpene epsilon-lactone hydrolase [Rhodococcus erythropolis]	33.184	223	4.38e-24	102	NA	NA	NA
agaA	sp|Q8XAC3.2|	Q8XAC3	RecName: Full=N-acetylgalactosamine-6-phosphate deacetylase; Short=Aga-6-P deacetylase [Escherichia coli O157:H7]	39.628	376	1.3e-70	228	NA	NA	NA
aguA	sp|C3K5U8.1|	C3K5U8	RecName: Full=Agmatine deiminase; AltName: Full=Agmatine iminohydrolase [Pseudomonas [fluorescens] SBW25]	95.109	368	0	702	NA	NA	NA
ahcY	sp|C3K3G6.1|	C3K3G6	RecName: Full=Adenosylhomocysteinase; AltName: Full=S-adenosyl-L-homocysteine hydrolase; Short=AdoHcyase [Pseudomonas [fluorescens] SBW25]	98.081	469	0	891	NA	NA	NA
ahpC_1	sp|Q8K9W0.1|	Q8K9W0	RecName: Full=Alkyl hydroperoxide reductase C; AltName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase [Buchnera aphidicola str. Sg (Schizaphis graminum)]	51.031	194	1.41e-76	231	NA	NA	NA
ahpC_2	sp|P0A251.2|	P0A251	RecName: Full=Alkyl hydroperoxide reductase C; AltName: Full=Alkyl hydroperoxide reductase protein C22; AltName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	70.053	187	1.03e-100	291	NA	NA	NA
ahpF	sp|Q9I6Z2.1|	Q9I6Z2	RecName: Full=Alkyl hydroperoxide reductase subunit F [Pseudomonas aeruginosa PAO1]	85.192	520	0	896	NA	NA	NA
aidB	sp|P33224.3|	P33224	RecName: Full=Putative acyl-CoA dehydrogenase AidB [Escherichia coli K-12]	48.359	457	4.21e-124	378	NA	NA	NA
ais_1	sp|A0A0A1H8I4.1|	A0A0A1H8I4	RecName: Full=Aconitate isomerase; Short=AI; Flags: Precursor [Pseudomonas sp.]	45.614	228	2.73e-58	189	NA	NA	NA
ais_2	sp|Q83QU0.5|	Q83QU0	RecName: Full=Lipopolysaccharide core heptose(II)-phosphate phosphatase; Flags: Precursor [Shigella flexneri]	35.2	125	2.98e-18	82.8	NA	NA	NA
aknOx	sp|A3RXB7.1|	A3RXB7	RecName: Full=N-acetyl-D-hexosamine oxidase; Short=HexNAcO [Ralstonia solanacearum UW551]	41.113	557	2.77e-113	349	NA	NA	NA
alaA	sp|P0A959.1|	P0A959	RecName: Full=Glutamate-pyruvate aminotransferase AlaA [Escherichia coli K-12]	72.569	401	0	614	NA	NA	NA
alaC	sp|P77434.1|	P77434	RecName: Full=Glutamate-pyruvate aminotransferase AlaC [Escherichia coli K-12]	88.75	400	0	716	NA	NA	NA
alaS	sp|Q4K843.1|	Q4K843	RecName: Full=Alanine--tRNA ligase; AltName: Full=Alanyl-tRNA synthetase; Short=AlaRS [Pseudomonas protegens Pf-5]	91.648	874	0	1466	NA	NA	NA
alc	sp|C3K0A7.1|	C3K0A7	RecName: Full=Probable allantoicase; AltName: Full=Allantoate amidinohydrolase [Pseudomonas [fluorescens] SBW25]	96.979	331	0	648	NA	NA	NA
ald	sp|H8ZPX2.1|	H8ZPX2	RecName: Full=3-succinoylsemialdehyde-pyridine dehydrogenase; Short=SAPD [Pseudomonas sp.]	46.822	472	4.1899999999999995e-124	372	NA	NA	NA
aldA	sp|P25553.2|	P25553	RecName: Full=Lactaldehyde dehydrogenase; AltName: Full=Aldehyde dehydrogenase A; AltName: Full=Glycolaldehyde dehydrogenase [Escherichia coli K-12]	43.284	469	1.3899999999999999e-130	389	NA	NA	NA
aldHT	sp|P42329.1|	P42329	RecName: Full=Aldehyde dehydrogenase, thermostable [Geobacillus stearothermophilus]	43.892	483	4.3e-117	355	NA	NA	NA
alg8	sp|Q887P9.1|	Q887P9	RecName: Full=Glycosyltransferase alg8 [Pseudomonas syringae pv. tomato str. DC3000]	89.047	493	0	830	NA	NA	NA
algA_1	sp|P0C7J3.1|	P0C7J3	RecName: Full=Xanthan biosynthesis protein XanB; Includes: RecName: Full=Mannose-6-phosphate isomerase; AltName: Full=Phosphohexomutase; AltName: Full=Phosphomannose isomerase; Short=PMI; Includes: RecName: Full=Mannose-1-phosphate guanylyl transferase; AltName: Full=GDP-mannose pyrophosphorylase; Short=GMP; Short=GMPP [Xanthomonas campestris pv. campestris str. ATCC 33913]	47.899	476	4.35e-139	411	NA	NA	NA
algA_2	sp|Q48462.1|	Q48462	RecName: Full=Mannose-1-phosphate guanylyltransferase; AltName: Full=GDP-mannose pyrophosphorylase; Short=GMP; Short=GMPP; AltName: Full=ORF16 [Klebsiella pneumoniae]	44.77	478	4.3499999999999994e-144	424	NA	NA	NA
algB	sp|Q88AQ2.1|	Q88AQ2	RecName: Full=Alginate biosynthesis transcriptional regulatory protein AlgB [Pseudomonas syringae pv. tomato str. DC3000]	94.866	448	0	876	NA	NA	NA
algC	sp|Q88BD4.1|	Q88BD4	RecName: Full=Phosphomannomutase/phosphoglucomutase; Short=PMM / PGM [Pseudomonas syringae pv. tomato str. DC3000]	82.189	466	0	790	NA	NA	NA
algD	sp|P59793.1|	P59793	RecName: Full=GDP-mannose 6-dehydrogenase; Short=GMD [Pseudomonas syringae pv. syringae]	90.868	438	0	824	NA	NA	NA
algE	sp|Q88NC8.1|	Q88NC8	RecName: Full=Alginate production protein AlgE; Flags: Precursor [Pseudomonas putida KT2440]	68.787	503	0	705	NA	NA	NA
algF	sp|P59791.1|	P59791	RecName: Full=Alginate biosynthesis protein AlgF; Flags: Precursor [Pseudomonas fluorescens]	94.037	218	1.95e-147	412	NA	NA	NA
algG	sp|P59828.1|	P59828	RecName: Full=Mannuronan C5-epimerase; AltName: Full=Poly(beta-D-mannuronate) C5 epimerase; Flags: Precursor [Pseudomonas fluorescens]	91.031	524	0	985	NA	NA	NA
algJ	sp|P59792.1|	P59792	RecName: Full=Probable alginate O-acetylase AlgJ; AltName: Full=Alginate biosynthesis protein AlgJ; Flags: Precursor [Pseudomonas fluorescens]	93.655	394	0	708	NA	NA	NA
algK	sp|Q887Q1.1|	Q887Q1	RecName: Full=Alginate biosynthesis protein AlgK; Flags: Precursor [Pseudomonas syringae pv. tomato str. DC3000]	71.179	458	0	665	NA	NA	NA
algL	sp|C3KDZ3.1|	C3KDZ3	RecName: Full=Alginate lyase; AltName: Full=Poly(beta-D-mannuronate) lyase; Flags: Precursor [Pseudomonas [fluorescens] SBW25]	96.748	369	0	753	NA	NA	NA
algU	sp|Q06198.1|	Q06198	RecName: Full=RNA polymerase sigma-H factor; AltName: Full=Sigma-30 [Pseudomonas aeruginosa PAO1]	91.146	192	1.1999999999999998e-130	367	NA	NA	NA
algX	sp|P59788.1|	P59788	RecName: Full=Alginate biosynthesis protein AlgX; AltName: Full=Probable alginate O-acetyltransferase AlgX; Flags: Precursor [Pseudomonas fluorescens]	95.052	485	0	948	NA	NA	NA
alkA	sp|P9WJW2.1|	P9WJW2	RecName: Full=Probable bifunctional transcriptional activator/DNA repair enzyme AlkA; AltName: Full=Regulatory protein AlkA; Includes: RecName: Full=Methylphosphotriester-DNA--protein-cysteine S-methyltransferase; AltName: Full=Methylphosphotriester-DNA methyltransferase; Includes: RecName: Full=DNA-3-methyladenine glycosylase; AltName: Full=DNA-3-methyladenine glycosidase [Mycobacterium tuberculosis CDC1551]	39.437	284	2.2e-49	173	NA	NA	NA
alkB	sp|P05050.1|	P05050	RecName: Full=Alpha-ketoglutarate-dependent dioxygenase AlkB; AltName: Full=Alkylated DNA repair protein AlkB; AltName: Full=DNA oxidative demethylase AlkB [Escherichia coli K-12]	54.419	215	1.61e-77	235	NA	NA	NA
alkB1	sp|Q0VKZ3.1|	Q0VKZ3	RecName: Full=Alkane 1-monooxygenase 1; AltName: Full=Alkane hydroxylase; Short=AHs; AltName: Full=Terminal alkane hydroxylase [Alcanivorax borkumensis SK2]	41.951	410	2.8799999999999996e-96	297	NA	NA	NA
alkJ_1	sp|Q9WWW2.1|	Q9WWW2	RecName: Full=Alcohol dehydrogenase [acceptor] [Pseudomonas putida]	44.61	538	8.19e-156	459	NA	NA	NA
alkJ_2	sp|Q9WWW2.1|	Q9WWW2	RecName: Full=Alcohol dehydrogenase [acceptor] [Pseudomonas putida]	41.667	528	8.549999999999999e-136	408	NA	NA	NA
alkJ_3	sp|Q47944.1|	Q47944	RecName: Full=L-sorbose 1-dehydrogenase; Short=SDH [Gluconobacter oxydans]	45.802	524	9.159999999999999e-173	501	NA	NA	NA
alkT	sp|Q9HTK9.1|	Q9HTK9	RecName: Full=Rubredoxin-NAD(+) reductase; Short=RdxR [Pseudomonas aeruginosa PAO1]	79.265	381	0	568	NA	NA	NA
allA	sp|C3K0A8.1|	C3K0A8	RecName: Full=Ureidoglycolate lyase; AltName: Full=Ureidoglycolatase [Pseudomonas [fluorescens] SBW25]	97.605	167	7.71e-120	338	NA	NA	NA
alr	sp|Q4K3T9.1|	Q4K3T9	RecName: Full=Alanine racemase [Pseudomonas protegens Pf-5]	87.288	354	0	642	NA	NA	NA
alsT	sp|O31464.2|	O31464	RecName: Full=Probable sodium/glutamine symporter GlnT [Bacillus subtilis subsp. subtilis str. 168]	44.325	467	1.8499999999999995e-107	330	NA	NA	NA
amgK	sp|Q88QT3.1|	Q88QT3	RecName: Full=N-acetylmuramate/N-acetylglucosamine kinase; Short=MurNAc/GlcNAc kinase; AltName: Full=Anomeric sugar kinase [Pseudomonas putida KT2440]	74.336	339	2.28e-170	480	NA	NA	NA
amiC_1	sp|P63883.1|	P63883	RecName: Full=N-acetylmuramoyl-L-alanine amidase AmiC; Flags: Precursor [Escherichia coli K-12]	41.039	385	2.3e-74	243	NA	NA	NA
amiC_2	sp|O85057.1|	O85057	RecName: Full=Limonene hydroxylase; AltName: Full=(S)-limonene 6-monooxygenase; AltName: Full=(S)-limonene 7-monooxygenase; AltName: Full=Carveol dehydrogenase; AltName: Full=Perillyl-alcohol dehydrogenase [Geobacillus stearothermophilus]	37.692	130	3.67e-17	87	NA	NA	NA
amiC_3	sp|P27017.5|	P27017	RecName: Full=Aliphatic amidase expression-regulating protein [Pseudomonas aeruginosa PAO1]	31.389	360	3.13e-50	176	NA	NA	NA
amiC_4	sp|P63883.1|	P63883	RecName: Full=N-acetylmuramoyl-L-alanine amidase AmiC; Flags: Precursor [Escherichia coli K-12]	38.802	384	2.37e-76	246	NA	NA	NA
amiD_1	sp|P75820.1|	P75820	RecName: Full=N-acetylmuramoyl-L-alanine amidase AmiD; Flags: Precursor [Escherichia coli K-12]	41.25	240	3.6399999999999996e-45	155	NA	NA	NA
amiD_2	sp|P75820.1|	P75820	RecName: Full=N-acetylmuramoyl-L-alanine amidase AmiD; Flags: Precursor [Escherichia coli K-12]	44.314	255	1.5299999999999998e-61	197	NA	NA	NA
amiE	sp|C3K9E6.1|	C3K9E6	RecName: Full=Aliphatic amidase; AltName: Full=Acylamide amidohydrolase [Pseudomonas [fluorescens] SBW25]	97.406	347	0	681	NA	NA	NA
