Isolate	Region	Type	From	To	Similarity Confidence	Most similar known cluster	
CP20G1	Region 13.1	RiPP-like	98,486	109,367			
CP20G1	Region 18.1	azole-containing-RiPP	30,749	59,526	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP20G1	Region 42.1	NRPS-like	1	17,495			
630A	Region 1.1	RiPP-like	46,665	57,510			
630A	Region 1.2	redox-cofactor	578,739	600,886			
630A	Region 2.1	NAGGN	30,240	45,120			
630A	Region 2.2	NRPS	82,108	135,004			
630A	Region 2.3	NI-siderophore	282,428	312,353			
630A	Region 5.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,632	120,917			
630A	Region 6.1	arylpolyene	7,907	51,482	Low	APE Vf	other:other
630A	Region 15.1	NRPS,azole-containing-RiPP	35,609	81,878			
630A	Region 16.1	betalactone	73,815	102,295			
630A	Region 22.1	terpene-precursor	66,493	87,380			
630A	Region 26.1	RiPP-like	35,459	46,340			
630A	Region 29.1	NRPS	9,211	60,972	Medium	viscosin	NRPS:Type I
630A	Region 40.1	RiPP-like	20,523	28,674			
630A	Region 48.1	NRPS-like	1	17,353			
643E	Region 1.1	NI-siderophore	265,466	295,391			
643E	Region 1.2	NRPS	442,912	495,808			
643E	Region 1.3	NAGGN	532,879	547,759			
643E	Region 2.1	RiPP-like	46,664	57,509			
643E	Region 5.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,632	120,773			
643E	Region 7.1	arylpolyene	1	21,403	Low	APE Vf	other:other
643E	Region 14.1	betalactone	41,630	70,110			
643E	Region 17.1	RiPP-like	35,457	46,338			
643E	Region 18.1	NRPS,azole-containing-RiPP	9,919	56,188			
643E	Region 20.1	terpene-precursor	3,776	24,663			
643E	Region 21.1	redox-cofactor	55,332	77,479			
643E	Region 25.1	RiPP-like	1	7,748			
643E	Region 28.1	NRPS	1	55,747	Medium	viscosin	NRPS:Type I
643E	Region 39.1	arylpolyene	7,736	29,985			
643E	Region 47.1	NRPS-like	1	17,311			
CP3F2	Region 1.1	azole-containing-RiPP	481,462	509,529	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP3F2	Region 2.1	NI-siderophore	209,415	239,340			
CP3F2	Region 2.2	NRPS	319,364	372,260			
CP3F2	Region 2.3	NAGGN	411,412	426,292			
CP3F2	Region 3.1	redox-cofactor	55,683	77,830			
CP3F2	Region 4.1	arylpolyene	76,884	120,459	Low	APE Vf	other:other
CP3F2	Region 5.1	NRPS,azole-containing-RiPP	124,291	170,560			
CP3F2	Region 5.2	betalactone	278,774	307,184			
CP3F2	Region 7.1	hydrogen-cyanide,NRP-metallophore,NRPS	102,183	188,439	Low	pyoverdine SXM-1	NRPS:Type I
CP3F2	Region 8.1	RiPP-like	187,732	198,577			
CP3F2	Region 14.1	RiPP-like	34,036	44,917			
CP3F2	Region 25.1	terpene-precursor	66,643	87,530			
CP3F2	Region 33.1	NRPS	11,141	62,921	Medium	viscosin	NRPS:Type I
CP3F2	Region 52.1	NRPS-like	1	17,074			
CP5A	Region 1.1	NRPS	124,058	170,327			
CP5A	Region 1.2	betalactone	277,259	305,739			
CP5A	Region 1.3	hydrogen-cyanide,NRP-metallophore,NRPS	570,081	656,228	Low	pyoverdine SXM-1	NRPS:Type I
CP5A	Region 2.1	redox-cofactor	55,204	77,351			
CP5A	Region 2.2	RiPP-like	605,523	616,368			
CP5A	Region 3.1	NAGGN	50,943	65,823			
CP5A	Region 3.2	NRPS	102,950	155,846			
CP5A	Region 3.3	NI-siderophore	235,987	265,912			
CP5A	Region 6.1	terpene-precursor	66,495	87,382			
CP5A	Region 7.1	arylpolyene	8,188	51,763	Low	APE Vf	other:other
CP5A	Region 16.1	azole-containing-RiPP	24,856	53,709	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP5A	Region 22.1	RiPP-like	34,058	44,939			
CP5A	Region 25.1	NRPS	11,333	63,108	Medium	viscosin	NRPS:Type I
CP5A	Region 45.1	NRPS-like	1	17,531			
631B	Region 1.1	NI-siderophore	265,510	295,435			
631B	Region 1.2	NRPS	442,964	495,860			
631B	Region 1.3	NAGGN	532,964	547,844			
631B	Region 2.1	RiPP-like	512,091	522,936			
631B	Region 6.1	arylpolyene	277,822	321,397	Low	APE Vf	other:other
631B	Region 7.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,632	120,773			
631B	Region 8.1	NRPS,azole-containing-RiPP	63,079	109,348			
631B	Region 8.2	betalactone	218,497	246,977			
631B	Region 13.1	RiPP-like	150,354	161,235			
631B	Region 20.1	terpene-precursor	3,859	24,746			
631B	Region 21.1	redox-cofactor	55,469	77,616			
631B	Region 23.1	NRPS	11,426	75,670	Medium	viscosin	NRPS:Type I
631B	Region 24.1	azole-containing-RiPP	31,148	60,087	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
631B	Region 39.1	NRPS-like	1	19,801			
629A2A	Region 2.1	NI-siderophore	265,335	295,260			
629A2A	Region 2.2	NRPS	442,842	495,738			
629A2A	Region 2.3	NAGGN	532,810	547,690			
629A2A	Region 3.1	RiPP-like	46,571	57,416			
629A2A	Region 5.1	arylpolyene	84,833	128,408	Low	APE Vf	other:other
629A2A	Region 6.1	terpene-precursor	267,914	288,801			
629A2A	Region 8.1	betalactone	41,630	70,110			
629A2A	Region 8.2	NRPS,azole-containing-RiPP	179,393	225,662			
629A2A	Region 12.1	RiPP-like	35,457	46,338			
629A2A	Region 18.1	hydrogen-cyanide,NRP-metallophore,NRPS	6,410	92,551	Low	pyoverdine SXM-1	NRPS:Type I
629A2A	Region 20.1	redox-cofactor	55,333	77,480			
629A2A	Region 21.1	NRPS	9,213	73,457	Medium	viscosin	NRPS:Type I
629A2A	Region 23.1	RiPP-like	1	7,852			
629A2A	Region 36.1	NRPS-like	1	17,311			
632B	Region 1.1	redox-cofactor	93,917	116,064			
632B	Region 1.2	RiPP-like	638,623	649,468			
632B	Region 2.1	NRP-metallophore,NRPS,hydrogen-cyanide	34,522	120,841			
632B	Region 2.2	betalactone	373,608	402,088			
632B	Region 2.3	NRPS,azole-containing-RiPP	510,265	556,534			
632B	Region 3.1	azole-containing-RiPP	507,240	535,392	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
632B	Region 4.1	arylpolyene	277,708	321,283	Low	APE Vf	other:other
632B	Region 6.1	NI-siderophore	246,802	276,727			
632B	Region 6.2	NRPS	356,822	390,299	Low	azotobactin D	NRPS:Type I
632B	Region 7.1	RiPP-like	74,241	85,122			
632B	Region 10.1	terpene-precursor	59,929	80,816			
632B	Region 15.1	NAGGN	58,618	73,498			
632B	Region 26.1	NRPS	11,276	63,025	Medium	viscosin	NRPS:Type I
632B	Region 45.1	NRPS-like	1	21,993			
642A	Region 1.1	redox-cofactor	93,923	116,070			
642A	Region 1.2	RiPP-like	638,574	649,419			
642A	Region 2.1	NRPS,azole-containing-RiPP	85,613	131,882			
642A	Region 2.2	betalactone	240,190	268,670			
642A	Region 2.3	hydrogen-cyanide,NRP-metallophore,NRPS	521,637	607,777	Low	pyoverdine SXM-1	NRPS:Type I
642A	Region 3.1	azole-containing-RiPP	16,171	44,072	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
642A	Region 5.1	NRPS	1	33,478	Low	azotobactin D	NRPS:Type I
642A	Region 5.2	NI-siderophore	113,564	143,489			
642A	Region 6.1	arylpolyene	85,251	128,826	Low	APE Vf	other:other
642A	Region 8.1	terpene-precursor	66,654	87,541			
642A	Region 12.1	RiPP-like	34,048	44,929			
642A	Region 16.1	NAGGN	32,828	47,708			
642A	Region 19.1	NRPS	11,142	75,386	Medium	viscosin	NRPS:Type I
642A	Region 38.1	NRPS-like	1	19,245			
CP15C	Region 1.1	NI-siderophore	207,404	237,329			
CP15C	Region 1.2	NRPS	317,475	370,371			
CP15C	Region 1.3	NAGGN	409,536	424,416			
CP15C	Region 2.1	azole-containing-RiPP	51,944	80,295	Low	pseudopyronine A/pseudopyronine B	other:fatty acid
CP15C	Region 3.1	RiPP-like	400,884	411,729			
CP15C	Region 4.1	arylpolyene	85,295	128,870	Low	APE Vf	other:other
CP15C	Region 5.1	NRPS,azole-containing-RiPP	124,072	170,341			
CP15C	Region 5.2	betalactone	278,581	306,991			
CP15C	Region 9.1	hydrogen-cyanide,NRP-metallophore,NRPS	102,311	188,451	Low	pyoverdine SXM-1	NRPS:Type I
CP15C	Region 11.1	redox-cofactor	121,441	143,588			
CP15C	Region 24.1	terpene-precursor	3,741	24,628			
CP15C	Region 29.1	RiPP-like	34,009	44,890			
CP15C	Region 30.1	NRPS	11,141	62,921	Medium	viscosin	NRPS:Type I
CP15C	Region 48.1	NRPS-like	1	17,071			
