qseqid	sseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	uniprot_acc	uniprot_full
aceE_2	sp|Q59637.2|	RecName: Full=Pyruvate dehydrogenase E1 component; Short=PDH E1 component [Pseudomonas aeruginosa PAO1]	55.468	887	380	6	37	2676	4	882	0	936	Q59637	Q59637.2
aceF	sp|Q59638.2|	RecName: Full=Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex; AltName: Full=Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex; AltName: Full=E2 [Pseudomonas aeruginosa PAO1]	74.317	549	138	2	1	1644	1	547	0	606	Q59638	Q59638.2
aceK	sp|Q3KGE4.1|	RecName: Full=Isocitrate dehydrogenase kinase/phosphatase; Short=IDH kinase/phosphatase; Short=IDHK/P [Pseudomonas fluorescens Pf0-1]	88.652	564	62	1	13	1704	7	568	0	988	Q3KGE4	Q3KGE4.1
ackA	sp|B3QA57.1|	RecName: Full=Acetate kinase; AltName: Full=Acetokinase [Rhodopseudomonas palustris TIE-1]	48.515	404	178	9	22	1188	4	392	2.62e-111	335	B3QA57	B3QA57.1
acnA	sp|Q9I3F5.1|	RecName: Full=Aconitate hydratase A; Short=ACN; Short=Aconitase; AltName: Full=(2R,3S)-2-methylisocitrate dehydratase; AltName: Full=(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase; AltName: Full=Iron-responsive protein-like; Short=IRP-like; AltName: Full=Probable 2-methyl-cis-aconitate hydratase; AltName: Full=RNA-binding protein [Pseudomonas aeruginosa PAO1]	83.974	911	145	1	1	2733	1	910	0	1515	Q9I3F5	Q9I3F5.1
acnB_2	sp|Q9I2V5.1|	RecName: Full=Aconitate hydratase B; Short=ACN; Short=Aconitase; AltName: Full=(2R,3S)-2-methylisocitrate dehydratase; AltName: Full=(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase; AltName: Full=2-methyl-cis-aconitate hydratase; AltName: Full=Iron-responsive protein-like; Short=IRP-like; AltName: Full=RNA-binding protein [Pseudomonas aeruginosa PAO1]	85.386	869	127	0	16	2622	1	869	0	1500	Q9I2V5	Q9I2V5.1
acnD_1	sp|Q8EJW3.1|	RecName: Full=2-methylcitrate dehydratase (2-methyl-trans-aconitate forming); AltName: Full=Aconitate hydratase; Short=ACN; Short=Aconitase [Shewanella oneidensis MR-1]	83.488	860	142	0	1	2580	5	864	0	1479	Q8EJW3	Q8EJW3.1
acoR_1	sp|P28614.2|	RecName: Full=Acetoin catabolism regulatory protein [Cupriavidus necator H16]	41.297	632	332	9	85	1890	32	654	6.33e-128	395	P28614	P28614.2
acoR_2	sp|P28614.2|	RecName: Full=Acetoin catabolism regulatory protein [Cupriavidus necator H16]	35.659	645	358	11	1	1821	25	650	7.81e-104	331	P28614	P28614.2
acpH	sp|A1JNT5.1|	RecName: Full=Acyl carrier protein phosphodiesterase; Short=ACP phosphodiesterase [Yersinia enterocolitica subsp. enterocolitica 8081]	37.306	193	119	2	1	573	1	193	2.51e-36	128	A1JNT5	A1JNT5.1
acpP_1	sp|Q8XSU8.1|	RecName: Full=Acyl carrier protein 2; Short=ACP 2 [Ralstonia pseudosolanacearum GMI1000]	45.57	79	43	0	7	243	2	80	5.28e-17	71.6	Q8XSU8	Q8XSU8.1
acpP_3	sp|C3K0N3.1|	RecName: Full=Acyl carrier protein; Short=ACP [Pseudomonas [fluorescens] SBW25]	97.436	78	2	0	1	234	1	78	6.069999999999999e-35	116	C3K0N3	C3K0N3.1
acrA	sp|P0AE06.1|	RecName: Full=Multidrug efflux pump subunit AcrA; AltName: Full=AcrAB-TolC multidrug efflux pump subunit AcrA; AltName: Full=Acridine resistance protein A; AltName: Full=Membrane fusion protein AcrA; Flags: Precursor [Escherichia coli K-12]	43.575	358	199	3	55	1122	21	377	5.11e-81	256	P0AE06	P0AE06.1
acrB	sp|P24177.3|	RecName: Full=Probable aminoglycoside efflux pump; AltName: Full=Acriflavine resistance protein D [Escherichia coli K-12]	47.137	978	508	5	4	2925	59	1031	0	808	P24177	P24177.3
acrE	sp|P24180.2|	RecName: Full=Multidrug export protein AcrE; AltName: Full=Acriflavine resistance protein E; AltName: Full=Protein EnvC; Flags: Precursor [Escherichia coli K-12]	45.856	362	189	3	34	1107	14	372	1.1000000000000001e-79	253	P24180	P24180.2
acsA_1	sp|Q88DW6.1|	RecName: Full=Acetyl-coenzyme A synthetase 2; Short=AcCoA synthetase 2; Short=Acs 2; AltName: Full=Acetate--CoA ligase 2; AltName: Full=Acyl-activating enzyme 2 [Pseudomonas putida KT2440]	82.016	645	115	1	1	1935	1	644	0	1088	Q88DW6	Q88DW6.1
acsA_2	sp|P39062.1|	RecName: Full=Acetyl-coenzyme A synthetase; Short=AcCoA synthetase; Short=Acs; AltName: Full=Acetate--CoA ligase; AltName: Full=Acyl-activating enzyme [Bacillus subtilis subsp. subtilis str. 168]	36.101	554	333	11	1	1623	15	560	3.98e-98	311	P39062	P39062.1
acs_1	sp|Q88EH6.1|	RecName: Full=Acetyl-coenzyme A synthetase 1; Short=AcCoA synthetase 1; Short=Acs 1; AltName: Full=Acetate--CoA ligase 1; AltName: Full=Acyl-activating enzyme 1 [Pseudomonas putida KT2440]	89.862	651	66	0	1	1953	1	651	0	1228	Q88EH6	Q88EH6.1
acs_3~~~acs_2	sp|Q9Z3R3.2|	RecName: Full=Acetoacetyl-coenzyme A synthetase; Short=Acetoacetyl-CoA synthetase [Sinorhizobium meliloti 1021]	54.714	647	286	5	253	2187	7	648	0	666	Q9Z3R3	Q9Z3R3.2
actP	sp|A1JIK1.1|	RecName: Full=Cation/acetate symporter ActP; AltName: Full=Acetate permease; AltName: Full=Acetate transporter ActP [Yersinia enterocolitica subsp. enterocolitica 8081]	85.15	532	79	0	61	1656	20	551	0	822	A1JIK1	A1JIK1.1
actP_2	sp|Q9X5V3.1|	RecName: Full=Copper-transporting P-type ATPase [Rhizobium leguminosarum bv. viciae]	64.198	162	58	0	1	486	680	841	1.47e-53	184	Q9X5V3	Q9X5V3.1
ada	sp|P06134.2|	RecName: Full=Bifunctional transcriptional activator/DNA repair enzyme Ada; AltName: Full=Regulatory protein of adaptive response; Includes: RecName: Full=Methylphosphotriester-DNA--protein-cysteine S-methyltransferase; AltName: Full=Methylphosphotriester-DNA methyltransferase; Includes: RecName: Full=Methylated-DNA--protein-cysteine methyltransferase; AltName: Full=O6-methylguanine-DNA alkyltransferase [Escherichia coli K-12]	49.697	330	165	1	16	1005	10	338	3.3999999999999993e-106	318	P06134	P06134.2
adeP	sp|P31466.2|	RecName: Full=Adenine permease AdeP [Escherichia coli K-12]	51.163	430	210	0	55	1344	13	442	1.9899999999999996e-152	443	P31466	P31466.2
adeQ	sp|P31466.2|	RecName: Full=Adenine permease AdeP [Escherichia coli K-12]	50.812	431	212	0	1	1293	14	444	1.51e-122	366	P31466	P31466.2
adh1	sp|A4IP64.1|	RecName: Full=Long-chain-alcohol dehydrogenase 1; AltName: Full=Alcohol dehydrogenase 1; Short=ADH1; AltName: Full=Fatty alcohol oxidoreductase 1; AltName: Full=Glycerol dehydrogenase [Geobacillus thermodenitrificans NG80-2]	47.721	373	188	3	43	1146	15	385	1.9399999999999998e-99	303	A4IP64	A4IP64.1
adhA	sp|P9WQC0.1|	RecName: Full=Probable alcohol dehydrogenase AdhA [Mycobacterium tuberculosis CDC1551]	44.904	314	163	4	64	981	35	346	7.96e-76	239	P9WQC0	P9WQC0.1
adhB_1	sp|P37686.4|	RecName: Full=Probable alcohol dehydrogenase [Escherichia coli K-12]	67.979	381	122	0	4	1146	3	383	0	522	P37686	P37686.4
adhB_2	sp|P0A388.1|	RecName: Full=Alcohol dehydrogenase (quinone), cytochrome c subunit; Short=ADH; AltName: Full=Alcohol dehydrogenase (quinone), subunit II; AltName: Full=Cytochrome c-553; AltName: Full=Cytochrome c553; AltName: Full=Ethanol:Q2 reductase; AltName: Full=G3-ADH subunit II; AltName: Full=Quinohemoprotein-cytochrome c complex; AltName: Full=Ubiquinol oxidase; Flags: Precursor [Gluconacetobacter polyoxogenes]	48.01	402	199	6	118	1296	24	424	4.75e-125	374	P0A388	P0A388.1
adhC2	sp|W8JDE0.1|	RecName: Full=Alcohol dehydrogenase 9; Short=CrADH9 [Catharanthus roseus]	52.137	351	156	8	16	1050	16	360	1.86e-115	342	W8JDE0	W8JDE0.1
adh_1	sp|Q9ZAA1.1|	RecName: Full=Acetaldehyde dehydrogenase [Pseudomonas aeruginosa]	86.561	506	68	0	1	1518	1	506	0	852	Q9ZAA1	Q9ZAA1.1
adh_1~~~adh_2	sp|Q0KDL6.1|	RecName: Full=Alcohol dehydrogenase [Cupriavidus necator H16]	68.044	363	109	1	4	1071	3	365	6.279999999999999e-179	503	Q0KDL6	Q0KDL6.1
adiA	sp|Q9I2S7.1|	RecName: Full=Lysine decarboxylase LdcA [Pseudomonas aeruginosa PAO1]	83.2	750	126	0	1	2250	1	750	0	1312	Q9I2S7	Q9I2S7.1
adk	sp|C3KEC6.1|	RecName: Full=Adenylate kinase; Short=AK; AltName: Full=ATP-AMP transphosphorylase; AltName: Full=ATP:AMP phosphotransferase; AltName: Full=Adenylate monophosphate kinase [Pseudomonas [fluorescens] SBW25]	99.07	215	2	0	1	645	1	215	8.54e-141	395	C3KEC6	C3KEC6.1
aer	sp|Q9I3F6.1|	RecName: Full=Methyl-accepting chemotaxis protein Aer; AltName: Full=Aerotaxis receptor Aer [Pseudomonas aeruginosa PAO1]	77.543	521	117	0	1	1563	1	521	0	771	Q9I3F6	Q9I3F6.1
aes_2	sp|Q9EX73.1|	RecName: Full=Monoterpene epsilon-lactone hydrolase [Rhodococcus erythropolis]	33.184	223	143	4	310	966	73	293	4.38e-24	102	Q9EX73	Q9EX73.1
agaA	sp|Q8XAC3.2|	RecName: Full=N-acetylgalactosamine-6-phosphate deacetylase; Short=Aga-6-P deacetylase [Escherichia coli O157:H7]	39.628	376	205	10	13	1095	9	377	1.3e-70	228	Q8XAC3	Q8XAC3.2
aguA	sp|C3K5U8.1|	RecName: Full=Agmatine deiminase; AltName: Full=Agmatine iminohydrolase [Pseudomonas [fluorescens] SBW25]	95.109	368	18	0	1	1104	1	368	0	702	C3K5U8	C3K5U8.1
ahcY	sp|C3K3G6.1|	RecName: Full=Adenosylhomocysteinase; AltName: Full=S-adenosyl-L-homocysteine hydrolase; Short=AdoHcyase [Pseudomonas [fluorescens] SBW25]	98.081	469	9	0	1	1407	1	469	0	891	C3K3G6	C3K3G6.1
ahpC_1	sp|Q8K9W0.1|	RecName: Full=Alkyl hydroperoxide reductase C; AltName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase [Buchnera aphidicola str. Sg (Schizaphis graminum)]	51.031	194	94	1	7	585	2	195	1.41e-76	231	Q8K9W0	Q8K9W0.1
ahpC_2	sp|P0A251.2|	RecName: Full=Alkyl hydroperoxide reductase C; AltName: Full=Alkyl hydroperoxide reductase protein C22; AltName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	70.053	187	56	0	1	561	1	187	1.03e-100	291	P0A251	P0A251.2
ahpF	sp|Q9I6Z2.1|	RecName: Full=Alkyl hydroperoxide reductase subunit F [Pseudomonas aeruginosa PAO1]	85.192	520	77	0	1	1560	1	520	0	896	Q9I6Z2	Q9I6Z2.1
aidB	sp|P33224.3|	RecName: Full=Putative acyl-CoA dehydrogenase AidB [Escherichia coli K-12]	48.359	457	226	5	22	1374	4	456	4.21e-124	378	P33224	P33224.3
ais_1	sp|A0A0A1H8I4.1|	RecName: Full=Aconitate isomerase; Short=AI; Flags: Precursor [Pseudomonas sp.]	45.614	228	120	1	79	750	31	258	2.73e-58	189	A0A0A1H8I4	A0A0A1H8I4.1
ais_2	sp|Q83QU0.5|	RecName: Full=Lipopolysaccharide core heptose(II)-phosphate phosphatase; Flags: Precursor [Shigella flexneri]	35.2	125	77	3	163	528	40	163	2.98e-18	82.8	Q83QU0	Q83QU0.5
aknOx	sp|A3RXB7.1|	RecName: Full=N-acetyl-D-hexosamine oxidase; Short=HexNAcO [Ralstonia solanacearum UW551]	41.113	557	261	13	31	1659	3	506	2.77e-113	349	A3RXB7	A3RXB7.1
alaA	sp|P0A959.1|	RecName: Full=Glutamate-pyruvate aminotransferase AlaA [Escherichia coli K-12]	72.569	401	110	0	7	1209	4	404	0	614	P0A959	P0A959.1
alaC	sp|P77434.1|	RecName: Full=Glutamate-pyruvate aminotransferase AlaC [Escherichia coli K-12]	88.75	400	45	0	1	1200	1	400	0	716	P77434	P77434.1
alaS	sp|Q4K843.1|	RecName: Full=Alanine--tRNA ligase; AltName: Full=Alanyl-tRNA synthetase; Short=AlaRS [Pseudomonas protegens Pf-5]	91.648	874	71	1	1	2616	1	874	0	1466	Q4K843	Q4K843.1
alc	sp|C3K0A7.1|	RecName: Full=Probable allantoicase; AltName: Full=Allantoate amidinohydrolase [Pseudomonas [fluorescens] SBW25]	96.979	331	10	0	1	993	1	331	0	648	C3K0A7	C3K0A7.1
ald	sp|H8ZPX2.1|	RecName: Full=3-succinoylsemialdehyde-pyridine dehydrogenase; Short=SAPD [Pseudomonas sp.]	46.822	472	249	1	1	1410	1	472	4.1899999999999995e-124	372	H8ZPX2	H8ZPX2.1
aldA	sp|P25553.2|	RecName: Full=Lactaldehyde dehydrogenase; AltName: Full=Aldehyde dehydrogenase A; AltName: Full=Glycolaldehyde dehydrogenase [Escherichia coli K-12]	43.284	469	264	2	19	1419	10	478	1.3899999999999999e-130	389	P25553	P25553.2
aldHT	sp|P42329.1|	RecName: Full=Aldehyde dehydrogenase, thermostable [Geobacillus stearothermophilus]	43.892	483	265	4	4	1437	5	486	4.3e-117	355	P42329	P42329.1
alg8	sp|Q887P9.1|	RecName: Full=Glycosyltransferase alg8 [Pseudomonas syringae pv. tomato str. DC3000]	89.047	493	54	0	1	1479	1	493	0	830	Q887P9	Q887P9.1
algA_1	sp|P0C7J3.1|	RecName: Full=Xanthan biosynthesis protein XanB; Includes: RecName: Full=Mannose-6-phosphate isomerase; AltName: Full=Phosphohexomutase; AltName: Full=Phosphomannose isomerase; Short=PMI; Includes: RecName: Full=Mannose-1-phosphate guanylyl transferase; AltName: Full=GDP-mannose pyrophosphorylase; Short=GMP; Short=GMPP [Xanthomonas campestris pv. campestris str. ATCC 33913]	47.899	476	234	8	37	1461	4	466	4.35e-139	411	P0C7J3	P0C7J3.1
algA_2	sp|Q48462.1|	RecName: Full=Mannose-1-phosphate guanylyltransferase; AltName: Full=GDP-mannose pyrophosphorylase; Short=GMP; Short=GMPP; AltName: Full=ORF16 [Klebsiella pneumoniae]	44.77	478	252	5	19	1440	2	471	4.3499999999999994e-144	424	Q48462	Q48462.1
algB	sp|Q88AQ2.1|	RecName: Full=Alginate biosynthesis transcriptional regulatory protein AlgB [Pseudomonas syringae pv. tomato str. DC3000]	94.866	448	23	0	1	1344	1	448	0	876	Q88AQ2	Q88AQ2.1
algC	sp|Q88BD4.1|	RecName: Full=Phosphomannomutase/phosphoglucomutase; Short=PMM / PGM [Pseudomonas syringae pv. tomato str. DC3000]	82.189	466	81	2	1	1395	1	465	0	790	Q88BD4	Q88BD4.1
algD	sp|P59793.1|	RecName: Full=GDP-mannose 6-dehydrogenase; Short=GMD [Pseudomonas syringae pv. syringae]	90.868	438	40	0	151	1464	1	438	0	824	P59793	P59793.1
algE	sp|Q88NC8.1|	RecName: Full=Alginate production protein AlgE; Flags: Precursor [Pseudomonas putida KT2440]	68.787	503	138	3	1	1485	1	492	0	705	Q88NC8	Q88NC8.1
algF	sp|P59791.1|	RecName: Full=Alginate biosynthesis protein AlgF; Flags: Precursor [Pseudomonas fluorescens]	94.037	218	12	1	1	654	1	217	1.95e-147	412	P59791	P59791.1
algG	sp|P59828.1|	RecName: Full=Mannuronan C5-epimerase; AltName: Full=Poly(beta-D-mannuronate) C5 epimerase; Flags: Precursor [Pseudomonas fluorescens]	91.031	524	47	0	1	1572	6	529	0	985	P59828	P59828.1
algJ	sp|P59792.1|	RecName: Full=Probable alginate O-acetylase AlgJ; AltName: Full=Alginate biosynthesis protein AlgJ; Flags: Precursor [Pseudomonas fluorescens]	93.655	394	25	0	1	1182	1	394	0	708	P59792	P59792.1
algK	sp|Q887Q1.1|	RecName: Full=Alginate biosynthesis protein AlgK; Flags: Precursor [Pseudomonas syringae pv. tomato str. DC3000]	71.179	458	130	2	148	1515	13	470	0	665	Q887Q1	Q887Q1.1
algL	sp|C3KDZ3.1|	RecName: Full=Alginate lyase; AltName: Full=Poly(beta-D-mannuronate) lyase; Flags: Precursor [Pseudomonas [fluorescens] SBW25]	96.748	369	12	0	1	1107	5	373	0	753	C3KDZ3	C3KDZ3.1
algU	sp|Q06198.1|	RecName: Full=RNA polymerase sigma-H factor; AltName: Full=Sigma-30 [Pseudomonas aeruginosa PAO1]	91.146	192	17	0	1	576	1	192	1.1999999999999998e-130	367	Q06198	Q06198.1
algX	sp|P59788.1|	RecName: Full=Alginate biosynthesis protein AlgX; AltName: Full=Probable alginate O-acetyltransferase AlgX; Flags: Precursor [Pseudomonas fluorescens]	95.052	485	24	0	1	1455	1	485	0	948	P59788	P59788.1
alkA	sp|P9WJW2.1|	RecName: Full=Probable bifunctional transcriptional activator/DNA repair enzyme AlkA; AltName: Full=Regulatory protein AlkA; Includes: RecName: Full=Methylphosphotriester-DNA--protein-cysteine S-methyltransferase; AltName: Full=Methylphosphotriester-DNA methyltransferase; Includes: RecName: Full=DNA-3-methyladenine glycosylase; AltName: Full=DNA-3-methyladenine glycosidase [Mycobacterium tuberculosis CDC1551]	39.437	284	170	2	1	852	202	483	2.2e-49	173	P9WJW2	P9WJW2.1
alkB	sp|P05050.1|	RecName: Full=Alpha-ketoglutarate-dependent dioxygenase AlkB; AltName: Full=Alkylated DNA repair protein AlkB; AltName: Full=DNA oxidative demethylase AlkB [Escherichia coli K-12]	54.419	215	94	1	19	663	3	213	1.61e-77	235	P05050	P05050.1
alkB1	sp|Q0VKZ3.1|	RecName: Full=Alkane 1-monooxygenase 1; AltName: Full=Alkane hydroxylase; Short=AHs; AltName: Full=Terminal alkane hydroxylase [Alcanivorax borkumensis SK2]	41.951	410	199	5	31	1257	19	390	2.8799999999999996e-96	297	Q0VKZ3	Q0VKZ3.1
alkJ_1	sp|Q9WWW2.1|	RecName: Full=Alcohol dehydrogenase [acceptor] [Pseudomonas putida]	44.61	538	283	5	25	1617	2	531	8.19e-156	459	Q9WWW2	Q9WWW2.1
alkJ_2	sp|Q9WWW2.1|	RecName: Full=Alcohol dehydrogenase [acceptor] [Pseudomonas putida]	41.667	528	303	4	22	1593	2	528	8.549999999999999e-136	408	Q9WWW2	Q9WWW2.1
alkJ_3	sp|Q47944.1|	RecName: Full=L-sorbose 1-dehydrogenase; Short=SDH [Gluconobacter oxydans]	45.802	524	282	2	7	1575	6	528	9.159999999999999e-173	501	Q47944	Q47944.1
