Ascession	E_value	Per_ident	Hit	Genome	Pond
gi|2497518418|ref|NC_074658.1|	0	79.187	Pseudomonas phage Medea1, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	87.454	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	92.694	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.55E-163	88.296	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	9.51E-146	88.684	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.63E-128	74.643	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.23E-87	78.893	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.94E-71	83.946	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	3.03E-51	93.617	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	6.74E-28	89.815	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.78E-22	89.247	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.78E-22	95.775	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.97E-07	100	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.64E-09	87.097	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.69E-37	81.068	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	5.35E-23	100	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	81.925	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2438087536|ref|NC_070881.1|	0	85.366	Pseudomonas phage UFJF_PfDIW6, complete genome	CP12E	Conness Pond
gi|2438087536|ref|NC_070881.1|	8.30E-56	82.331	Pseudomonas phage UFJF_PfDIW6, complete genome	CP12E	Conness Pond
gi|2438087536|ref|NC_070881.1|	8.91E-06	100	Pseudomonas phage UFJF_PfDIW6, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	86.131	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	86.84	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|2497518506|ref|NC_074659.1|	5.21E-77	78.024	Pseudomonas phage phiAH14a, complete genome	CP12E	Conness Pond
gi|658307707|ref|NC_024365.1|	7.77E-13	90.476	Pseudomonas phage phiPSA1, complete genome	CP12E	Conness Pond
gi|1068359427|ref|NC_030940.1|	0	75.926	Pseudomonas phage phi3, complete genome	CP13A	Conness Pond
gi|1068359427|ref|NC_030940.1|	4.80E-149	72.071	Pseudomonas phage phi3, complete genome	CP13A	Conness Pond
gi|1103695282|ref|NC_028696.2|	6.05E-06	94.444	Salmonella phage SEN22, complete genome	CP13A	Conness Pond
gi|1103695282|ref|NC_028696.2|	6.05E-06	94.444	Salmonella phage SEN22, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.298	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	86.686	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	75.615	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.43	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	83.707	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2438087536|ref|NC_070881.1|	0	84.977	Pseudomonas phage UFJF_PfDIW6, complete genome	CP13A	Conness Pond
gi|2438087536|ref|NC_070881.1|	8.05E-33	81.481	Pseudomonas phage UFJF_PfDIW6, complete genome	CP13A	Conness Pond
gi|2438087536|ref|NC_070881.1|	3.83E-16	92.537	Pseudomonas phage UFJF_PfDIW6, complete genome	CP13A	Conness Pond
gi|939482373|ref|NC_005262.3|	9.74E-55	77.957	Burkholderia cepacia phage Bcep22, complete genome	CP13A	Conness Pond
gi|658307707|ref|NC_024365.1|	9.44E-13	90.476	Pseudomonas phage phiPSA1, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.04E-60	89.529	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.25E-57	88.482	Pseudomonas phage phiAH14a, complete genome	CP13A	Conness Pond
gi|158518661|ref|NC_009542.2|	5.72E-13	81.132	Aeromonas phage phiO18P, complete genome	CP13A	Conness Pond
gi|1068359427|ref|NC_030940.1|	3.12E-102	71.946	Pseudomonas phage phi3, complete genome	CP13A	Conness Pond
gi|564292481|ref|NC_023006.1|	3.09E-13	86.486	Pseudomonas phage PPpW-3 DNA, complete sequence	CP15C	Conness Pond
gi|1103695282|ref|NC_028696.2|	6.05E-06	94.444	Salmonella phage SEN22, complete genome	CP15C	Conness Pond
gi|1103695282|ref|NC_028696.2|	6.05E-06	94.444	Salmonella phage SEN22, complete genome	CP15C	Conness Pond
gi|422934690|ref|NC_019504.1|	1.38E-20	75.847	Erwinia phage vB_EamM-Y2, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.298	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	86.686	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	75.615	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.43	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	83.707	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	87.679	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	3.41E-35	93.519	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	5.87E-13	89.706	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.64E-08	100	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|939482373|ref|NC_005262.3|	1.04E-54	77.957	Burkholderia cepacia phage Bcep22, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.11E-60	89.529	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.41E-57	88.482	Pseudomonas phage phiAH14a, complete genome	CP15C	Conness Pond
gi|1068359427|ref|NC_030940.1|	0	75.926	Pseudomonas phage phi3, complete genome	CP15C	Conness Pond
gi|1068359427|ref|NC_030940.1|	2.06E-149	72.071	Pseudomonas phage phi3, complete genome	CP15C	Conness Pond
gi|658307707|ref|NC_024365.1|	8.90E-13	90.476	Pseudomonas phage phiPSA1, complete genome	CP15C	Conness Pond
gi|158518661|ref|NC_009542.2|	2.77E-13	81.132	Aeromonas phage phiO18P, complete genome	CP15C	Conness Pond
gi|1068359427|ref|NC_030940.1|	4.64E-102	71.946	Pseudomonas phage phi3, complete genome	CP15C	Conness Pond
gi|1068359427|ref|NC_030940.1|	0	75.926	Pseudomonas phage phi3, complete genome	CP17D	Conness Pond
gi|1068359427|ref|NC_030940.1|	2.35E-149	72.071	Pseudomonas phage phi3, complete genome	CP17D	Conness Pond
gi|564292481|ref|NC_023006.1|	3.09E-13	86.486	Pseudomonas phage PPpW-3 DNA, complete sequence	CP17D	Conness Pond
gi|1103695282|ref|NC_028696.2|	5.38E-06	94.444	Salmonella phage SEN22, complete genome	CP17D	Conness Pond
gi|1103695282|ref|NC_028696.2|	5.38E-06	94.444	Salmonella phage SEN22, complete genome	CP17D	Conness Pond
gi|422934690|ref|NC_019504.1|	1.38E-20	75.847	Erwinia phage vB_EamM-Y2, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.298	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	86.686	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	75.615	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	88.43	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	83.707	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	87.679	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	3.41E-35	93.519	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	5.87E-13	89.706	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.64E-08	100	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|939482373|ref|NC_005262.3|	9.74E-55	77.957	Burkholderia cepacia phage Bcep22, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.04E-60	89.529	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.25E-57	88.482	Pseudomonas phage phiAH14a, complete genome	CP17D	Conness Pond
gi|658307707|ref|NC_024365.1|	8.90E-13	90.476	Pseudomonas phage phiPSA1, complete genome	CP17D	Conness Pond
gi|158518661|ref|NC_009542.2|	5.72E-13	81.132	Aeromonas phage phiO18P, complete genome	CP17D	Conness Pond
gi|1068359427|ref|NC_030940.1|	4.35E-102	71.946	Pseudomonas phage phi3, complete genome	CP17D	Conness Pond
gi|2438087536|ref|NC_070881.1|	7.19E-76	98.214	Pseudomonas phage UFJF_PfDIW6, complete genome	CP19F2	Conness Pond
gi|2497518418|ref|NC_074658.1|	0	79.187	Pseudomonas phage Medea1, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	87.454	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	0	92.694	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.55E-163	88.296	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	9.51E-146	88.684	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	1.63E-128	74.643	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.23E-87	78.893	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.94E-71	83.946	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	3.03E-51	93.617	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	6.74E-28	89.815	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.78E-22	89.247	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.78E-22	95.775	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	8.97E-07	100	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.42E-09	87.097	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	2.69E-37	81.068	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
gi|2497518506|ref|NC_074659.1|	5.35E-23	100	Pseudomonas phage phiAH14a, complete genome	CP19F2	Conness Pond
